Number of words,54112
Number of unique words,4505
Average word frequency,12.011543
Entropy,7.644501

Word,Frequency,Proportion,Entropy Term
lot,47,0.000869,0.006122
picture,21,0.000388,0.003048
professionals,3,0.000055,0.000543
love,274,0.005064,0.026764
la,76,0.001404,0.009225
video,61,0.001127,0.007652
su,10,0.000185,0.001589
album,20,0.000370,0.002921
en,83,0.001534,0.009939
kurteichenwald,3,0.000055,0.000543
realdonaldtrump,122,0.002255,0.013741
respect,23,0.000425,0.003300
taken,16,0.000296,0.002403
mccain,4,0.000074,0.000703
ah,11,0.000203,0.001728
ill,66,0.001220,0.008183
change,43,0.000795,0.005672
server,3,0.000055,0.000543
run,36,0.000665,0.004867
lol,140,0.002587,0.015413
channel,7,0.000129,0.001158
right,144,0.002661,0.015778
killed,14,0.000259,0.002137
seven,11,0.000203,0.001728
flies,4,0.000074,0.000703
apartment,12,0.000222,0.001866
phil,5,0.000092,0.000858
jackson,3,0.000055,0.000543
hooked,4,0.000074,0.000703
thinking,25,0.000462,0.003548
idea,22,0.000407,0.003174
doing,72,0.001331,0.008811
tweet,54,0.000998,0.006896
loud,5,0.000092,0.000858
month,20,0.000370,0.002921
light,22,0.000407,0.003174
post,38,0.000702,0.005099
issues,17,0.000314,0.002534
going,142,0.002624,0.015596
sure,61,0.001127,0.007652
shes,47,0.000869,0.006122
phone,33,0.000610,0.004514
gh,32,0.000591,0.004396
tomorrow,30,0.000554,0.004157
day,300,0.005544,0.028802
ticket,9,0.000166,0.001447
wed,4,0.000074,0.000703
oct,46,0.000850,0.006010
listen,33,0.000610,0.004514
produced,5,0.000092,0.000858
wrathsmuzik,10,0.000185,0.001589
deathbeforedisshonorprodz,3,0.000055,0.000543
np,4,0.000074,0.000703
soundcloud,10,0.000185,0.001589
rainy,28,0.000517,0.003915
beautiful,48,0.000887,0.006234
yall,72,0.001331,0.008811
mta,10,0.000185,0.001589
trains,6,0.000111,0.001010
long,57,0.001053,0.007222
shit,145,0.002680,0.015869
start,57,0.001053,0.007222
walk,23,0.000425,0.003300
catch,13,0.000240,0.002002
car,18,0.000333,0.002664
legal,75,0.001386,0.009122
issue,75,0.001386,0.009122
jerseycitylawyer,51,0.000942,0.006566
able,16,0.000296,0.002403
accounts,7,0.000129,0.001158
benefit,5,0.000092,0.000858
disabled,5,0.000092,0.000858
family,48,0.000887,0.006234
members,14,0.000259,0.002137
hope,61,0.001127,0.007652
job,406,0.007503,0.036708
dead,25,0.000462,0.003548
tonight,87,0.001608,0.010343
want,252,0.004657,0.025005
talk,41,0.000758,0.005444
ive,89,0.001645,0.010543
seen,30,0.000554,0.004157
need,209,0.003862,0.021461
look,105,0.001940,0.012118
life,115,0.002125,0.013078
n,32,0.000591,0.004396
girls,15,0.000277,0.002271
cat,14,0.000259,0.002137
make,145,0.002680,0.015869
choice,10,0.000185,0.001589
time,250,0.004620,0.024844
ago,32,0.000591,0.004396
husband,9,0.000166,0.001447
kept,4,0.000074,0.000703
honestly,24,0.000444,0.003424
know,225,0.004158,0.022797
hypocrisy,6,0.000111,0.001010
just,505,0.009332,0.043622
care,38,0.000702,0.005099
told,41,0.000758,0.005444
earlier,4,0.000074,0.000703
wont,27,0.000499,0.003794
today,191,0.003530,0.019931
traveling,4,0.000074,0.000703
home,100,0.001848,0.011631
amazing,61,0.001127,0.007652
youve,11,0.000203,0.001728
school,33,0.000610,0.004514
uniform,3,0.000055,0.000543
really,158,0.002920,0.017041
meet,26,0.000480,0.003671
bobby,6,0.000111,0.001010
brown,10,0.000185,0.001589
relate,3,0.000055,0.000543
cozy,5,0.000092,0.000858
warm,4,0.000074,0.000703
space,15,0.000277,0.002271
williamsburg,8,0.000148,0.001304
brooklyn,105,0.001940,0.012118
imagine,22,0.000407,0.003174
obama,11,0.000203,0.001728
married,10,0.000185,0.001589
wives,3,0.000055,0.000543
flotus,11,0.000203,0.001728
faux,4,0.000074,0.000703
christians,4,0.000074,0.000703
think,153,0.002827,0.016593
trump,138,0.002550,0.015229
christian,5,0.000092,0.000858
people,244,0.004509,0.024357
thanks,126,0.002329,0.014117
s,38,0.000702,0.005099
rts,3,0.000055,0.000543
continuing,10,0.000185,0.001589
support,54,0.000998,0.006896
miss,48,0.000887,0.006234
great,242,0.004472,0.024194
week,105,0.001940,0.012118
lots,12,0.000222,0.001866
finished,9,0.000166,0.001447
book,27,0.000499,0.003794
fucked,11,0.000203,0.001728
like,461,0.008519,0.040598
writing,9,0.000166,0.001447
wasnt,31,0.000573,0.004276
good,209,0.003862,0.021461
damn,48,0.000887,0.006234
story,23,0.000425,0.003300
shook,7,0.000129,0.001158
scored,5,0.000092,0.000858
tickets,22,0.000407,0.003174
model,7,0.000129,0.001158
nycc,46,0.000850,0.006010
cosplay,21,0.000388,0.003048
costume,8,0.000148,0.001304
photography,37,0.000684,0.004983
wow,58,0.001072,0.007330
nice,62,0.001146,0.007759
cold,8,0.000148,0.001304
yum,3,0.000055,0.000543
paris,5,0.000092,0.000858
esp,3,0.000055,0.000543
d,19,0.000351,0.002793
ip,5,0.000092,0.000858
cam,5,0.000092,0.000858
captured,4,0.000074,0.000703
camera,5,0.000092,0.000858
involved,6,0.000111,0.001010
cleared,119,0.002199,0.013458
construction,78,0.001441,0.009430
directions,58,0.001072,0.007330
bound,4,0.000074,0.000703
way,105,0.001940,0.012118
tired,11,0.000203,0.001728
rn,26,0.000480,0.003671
single,30,0.000554,0.004157
ready,52,0.000961,0.006676
sign,23,0.000425,0.003300
social,32,0.000591,0.004396
fall,36,0.000665,0.004867
wednesday,12,0.000222,0.001866
recommend,80,0.001478,0.009635
ny,413,0.007632,0.037210
does,68,0.001257,0.008394
farrell,3,0.000055,0.000543
hey,53,0.000979,0.006786
wrong,45,0.000832,0.005898
streets,8,0.000148,0.001304
lights,3,0.000055,0.000543
hit,30,0.000554,0.004157
ask,30,0.000554,0.004157
money,58,0.001072,0.007330
act,18,0.000333,0.002664
higher,9,0.000166,0.001447
authority,8,0.000148,0.001304
things,66,0.001220,0.008183
tbh,10,0.000185,0.001589
lighting,3,0.000055,0.000543
candle,3,0.000055,0.000543
morgan,5,0.000092,0.000858
target,7,0.000129,0.001158
market,17,0.000314,0.002534
art,40,0.000739,0.005330
peep,4,0.000074,0.000703
fake,23,0.000425,0.003300
fuck,97,0.001793,0.011336
happened,13,0.000240,0.002002
r,37,0.000684,0.004983
major,10,0.000185,0.001589
sports,22,0.000407,0.003174
franchise,4,0.000074,0.000703
racist,45,0.000832,0.005898
use,41,0.000758,0.005444
na,5,0.000092,0.000858
left,49,0.000906,0.006345
world,77,0.001423,0.009328
commisurbator,5,0.000092,0.000858
ages,3,0.000055,0.000543
download,6,0.000111,0.001010
legend,13,0.000240,0.002002
independent,10,0.000185,0.001589
artist,21,0.000388,0.003048
android,3,0.000055,0.000543
app,9,0.000166,0.001447
rosarioelmer,3,0.000055,0.000543
saw,22,0.000407,0.003174
grown,3,0.000055,0.000543
man,117,0.002162,0.013269
wearing,16,0.000296,0.002403
rain,36,0.000665,0.004867
boots,4,0.000074,0.000703
lines,9,0.000166,0.001447
huge,23,0.000425,0.003300
certainly,8,0.000148,0.001304
arent,19,0.000351,0.002793
seats,4,0.000074,0.000703
mom,30,0.000554,0.004157
words,16,0.000296,0.002403
dealing,6,0.000111,0.001010
soul,13,0.000240,0.002002
tompepinsky,5,0.000092,0.000858
thosjleeper,5,0.000092,0.000858
profmirya,5,0.000092,0.000858
benlauderdale,5,0.000092,0.000858
exactly,34,0.000628,0.004632
yes,56,0.001035,0.007113
ms,19,0.000351,0.002793
creates,5,0.000092,0.000858
reviews,4,0.000074,0.000703
jesus,6,0.000111,0.001010
gave,19,0.000351,0.002793
wsj,5,0.000092,0.000858
nbcnews,4,0.000074,0.000703
georgia,4,0.000074,0.000703
latest,197,0.003641,0.020444
click,137,0.002532,0.015137
apply,85,0.001571,0.010141
commercial,10,0.000185,0.001589
banking,3,0.000055,0.000543
intern,5,0.000092,0.000858
program,18,0.000333,0.002664
corporate,15,0.000277,0.002271
truth,24,0.000444,0.003424
moon,11,0.000203,0.001728
grateful,13,0.000240,0.002002
included,5,0.000092,0.000858
goodbye,3,0.000055,0.000543
christopher,22,0.000407,0.003174
real,81,0.001497,0.009736
drawing,6,0.000111,0.001010
pattern,4,0.000074,0.000703
restaurant,9,0.000166,0.001447
starts,12,0.000222,0.001866
aint,39,0.000721,0.005215
sabaudia,3,0.000055,0.000543
il,4,0.000074,0.000703
e,30,0.000554,0.004157
ai,5,0.000092,0.000858
di,6,0.000111,0.001010
italia,3,0.000055,0.000543
che,6,0.000111,0.001010
honey,10,0.000185,0.001589
super,24,0.000444,0.003424
suit,5,0.000092,0.000858
tell,57,0.001053,0.007222
sr,7,0.000129,0.001158
jerseycity,8,0.000148,0.001304
nj,99,0.001830,0.011533
join,81,0.001497,0.009736
jdhuntr,25,0.000462,0.003548
inhouse,20,0.000370,0.002921
jobs,36,0.000665,0.004867
team,135,0.002495,0.014953
opening,154,0.002846,0.016683
used,29,0.000536,0.004036
nah,18,0.000333,0.002664
indigenous,26,0.000480,0.003671
peoples,20,0.000370,0.002921
lie,13,0.000240,0.002002
cherry,3,0.000055,0.000543
red,50,0.000924,0.006456
tie,6,0.000111,0.001010
wouldve,6,0.000111,0.001010
set,41,0.000758,0.005444
available,20,0.000370,0.002921
nyc,173,0.003197,0.018369
jump,6,0.000111,0.001010
send,24,0.000444,0.003424
email,22,0.000407,0.003174
friendly,4,0.000074,0.000703
coaching,6,0.000111,0.001010
night,75,0.001386,0.009122
met,18,0.000333,0.002664
guy,54,0.000998,0.006896
eyes,7,0.000129,0.001158
wtf,19,0.000351,0.002793
thinks,13,0.000240,0.002002
ok,56,0.001035,0.007113
fit,110,0.002033,0.012600
business,24,0.000444,0.003424
development,5,0.000092,0.000858
position,9,0.000166,0.001447
midtown,6,0.000111,0.001010
bro,23,0.000425,0.003300
called,36,0.000665,0.004867
weak,13,0.000240,0.002002
heard,22,0.000407,0.003174
dedicated,3,0.000055,0.000543
truly,22,0.000407,0.003174
trueemcee,4,0.000074,0.000703
lmao,53,0.000979,0.006786
true,45,0.000832,0.005898
hero,10,0.000185,0.001589
break,21,0.000388,0.003048
stupid,33,0.000610,0.004514
bitch,30,0.000554,0.004157
help,45,0.000832,0.005898
outta,4,0.000074,0.000703
toxic,8,0.000148,0.001304
ship,4,0.000074,0.000703
lose,14,0.000259,0.002137
mind,31,0.000573,0.004276
level,19,0.000351,0.002793
fine,21,0.000388,0.003048
god,54,0.000998,0.006896
win,48,0.000887,0.006234
hour,22,0.000407,0.003174
pink,11,0.000203,0.001728
thegarden,3,0.000055,0.000543
play,54,0.000998,0.006896
site,6,0.000111,0.001010
view,65,0.001201,0.008077
king,12,0.000222,0.001866
barista,10,0.000185,0.001589
