Number of pairs,21350.000000
Number of unique pairs,3045
Average pair frequency,7.011494
Pair entropy,7.467336

Pair,Frequency,Proportion,Entropy Term,Mutual Information
lot better,3.000000,0.000141,0.001246,4.588644
love family,3.000000,0.000141,0.001246,3.443099
love want,3.000000,0.000141,0.001246,1.784871
love time,3.000000,0.000141,0.001246,1.792839
love know,5.000000,0.000234,0.001958,2.409025
love really,3.000000,0.000141,0.001246,2.251705
love people,5.000000,0.000234,0.001958,2.327957
love like,4.000000,0.000187,0.001608,1.468584
love good,4.000000,0.000187,0.001608,2.259647
love way,3.000000,0.000141,0.001246,2.660339
love man,3.000000,0.000141,0.001246,2.552126
love team,6.000000,0.000281,0.002298,3.102172
love red,3.000000,0.000141,0.001246,3.402277
love god,4.000000,0.000187,0.001608,3.612998
love did,3.000000,0.000141,0.001246,2.510279
love work,3.000000,0.000141,0.001246,1.792839
love rochester,3.000000,0.000141,0.001246,3.880312
love seeing,3.000000,0.000141,0.001246,3.730781
love happy,5.000000,0.000234,0.001958,2.743721
love yea,3.000000,0.000141,0.001246,5.011715
love youre,4.000000,0.000187,0.001608,2.376235
love u,5.000000,0.000234,0.001958,2.827913
love hard,3.000000,0.000141,0.001246,3.288948
love days,4.000000,0.000187,0.001608,3.751834
love song,4.000000,0.000187,0.001608,3.913102
love smh,3.000000,0.000141,0.001246,4.178805
love sox,3.000000,0.000141,0.001246,3.730781
love unitedsyngg,3.000000,0.000141,0.001246,6.215687
la que,3.000000,0.000141,0.001246,4.292629
la del,4.000000,0.000187,0.001608,6.111788
la y,5.000000,0.000234,0.001958,5.064469
la es,5.000000,0.000234,0.001958,5.706323
la para,5.000000,0.000234,0.001958,6.274307
la por,3.000000,0.000141,0.001246,5.652255
la el,3.000000,0.000141,0.001246,4.746547
la siempre,3.000000,0.000141,0.001246,6.650784
la familia,4.000000,0.000187,0.001608,7.498082
video ny,3.000000,0.000141,0.001246,2.793106
video pretty,3.000000,0.000141,0.001246,5.009891
video oficial,3.000000,0.000141,0.001246,7.717942
su muerte,3.000000,0.000141,0.001246,9.238548
en love,3.000000,0.000141,0.001246,2.895459
en la,8.000000,0.000375,0.002956,5.158683
