Source,Target
Henry_David_Thoreau,John_Zerzan
Henry_David_Thoreau,John_F._Kennedy
Henry_David_Thoreau,Leo_Tolstoy
Kevin_Tucker,John_Zerzan
Sylvain_Lazarus,Alain_Badiou
David_Harvey_(geographer),R._Radhakrishnan
Nicolas_Malebranche,René_Descartes
Nicolas_Malebranche,David_Hume
Nicolas_Malebranche,Gottfried_Wilhelm_Leibniz
Nicolas_Malebranche,George_Berkeley
Nicolas_Malebranche,Giambattista_Vico
Nicolas_Malebranche,Montesquieu
Hamid_Dabashi,Edward_Said
C._D._Broad,A._J._Ayer
Xenocrates,Polemon_(scholarch)
Xenocrates,Speusippus
Xenocrates,Crantor
Michael_Parenti,Antonio_Gramsci
Two-Nation_Theory,Syed_Ahmed_Khan
Mario_Kopić,Gianni_Vattimo
Joseph_Beuys,Rudolf_Steiner
Isaac_Israeli_ben_Solomon,Al-Kindi
Cesare_Beccaria,Claude_Adrien_Helvétius
Honoré_de_Balzac,Joseph_de_Maistre
Dilthey,Friedrich_Adolf_Trendelenburg
Vladimir_Lossky,Nikolay_Lossky
Vasile_Pogor,Theodor_Rosetti
Vasile_Pogor,Alexandru_Dimitrie_Xenopol
Vasile_Pogor,Titu_Maiorescu
Andrei_Bely,Vladimir_Solovyov_(philosopher)
Parmenides,Friedrich_Nietzsche
Parmenides,Aristotle
Parmenides,Martin_Heidegger
Parmenides,Baruch_Spinoza
Parmenides,Pythagoras
Parmenides,Socrates
Parmenides,Melissus_of_Samos
Parmenides,Zeno_of_Elea
Victor_Shestakov,George_Boole
Johannes_Nikolaus_Tetens,David_Hume
Johannes_Nikolaus_Tetens,Immanuel_Kant
Friedrich_Nietzsche,Max_Stirner
Friedrich_Nietzsche,Empedocles
Friedrich_Nietzsche,Baruch_Spinoza
Friedrich_Nietzsche,African_Spir
Friedrich_Nietzsche,Protagoras
Friedrich_Nietzsche,Epicurus
Friedrich_Nietzsche,Ralph_Waldo_Emerson
Friedrich_Nietzsche,Alfred_Adler
Friedrich_Nietzsche,Friedrich_Albert_Lange
Friedrich_Nietzsche,Georg_Wilhelm_Friedrich_Hegel
Friedrich_Nietzsche,Niccolò_Machiavelli
Friedrich_Nietzsche,Gottfried_Wilhelm_Leibniz
Friedrich_Nietzsche,Michel_de_Montaigne
Friedrich_Nietzsche,Immanuel_Kant
Friedrich_Nietzsche,Jean-Jacques_Rousseau
György_Márkus,Ágnes_Heller
Georg_Bernhard_Bilfinger,Christian_Wolff_(philosopher)
Kurt_Grelling,Berlin_Circle
Kurt_Grelling,Vienna_Circle
Georges_Canguilhem,Dominique_Lecourt
Georges_Canguilhem,Louis_Althusser
Georges_Canguilhem,Jean_Cavaillès
Georges_Canguilhem,Michel_Foucault
Georges_Canguilhem,Gaston_Bachelard
Georges_Canguilhem,Pierre_Bourdieu
Georges_Canguilhem,Gilles_Deleuze
Ramchandra_Gandhi,P._F._Strawson
René_Daumal,René_Guénon
René_Daumal,George_Gurdjieff
Friedrich_Engels,Ludwig_Feuerbach
Friedrich_Engels,Max_Stirner
Friedrich_Engels,Leon_Trotsky
Friedrich_Engels,Marxists
Friedrich_Engels,Georg_Wilhelm_Friedrich_Hegel
Friedrich_Engels,Che_Guevara
Friedrich_Engels,Guy_Debord
Friedrich_Engels,Mao_Zedong
Friedrich_Engels,Rosa_Luxemburg
Friedrich_Engels,Jean-Paul_Sartre
Friedrich_Engels,Vladimir_Lenin
Friedrich_Engels,Jean-Jacques_Rousseau
Friedrich_Engels,Antonio_Negri
Ludwig_von_Bertalanffy,Nicolai_Hartmann
Founding_Fathers_of_the_United_States,John_Locke
Founding_Fathers_of_the_United_States,Hugo_Grotius
Assem_Qanso,Zaki_al-Arsuzi
Scholasticism,Porphyry_(philosopher)
Scholasticism,Pseudo-Dionysius_the_Areopagite
Cicero,Posidonius
Cicero,Panaetius
Max_Müller,African_Spir
John_N._Gray,John_Stuart_Mill
J._G._A._Pocock,Michael_Oakeshott
J._G._A._Pocock,Hannah_Arendt
Brenda_Marshall,R._Radhakrishnan
Jewish_philosophy,Aristotle
José_Antonio_Primo_de_Rivera,José_Ortega_y_Gasset
Gary_North_(Christian_Reconstructionist),Rousas_John_Rushdoony
Yusuf_ibn_Abd_al-Rahman_al-Mizzi,Ibn_Kathir
Antisthenes,Cynicism
Antisthenes,Diogenes_of_Sinope
Antisthenes,Socrates
Antisthenes,Stoicism
Antisthenes,Crates_of_Thebes
Antanas_Mockus,Jürgen_Habermas
William_A._Earle,Karl_Jaspers
William_A._Earle,Peter_Suber
Carneades,Sextus_Empiricus
Carneades,Philo_of_Larissa
Carneades,Arcesilaus
Carneades,Pyrrho
Carneades,Clitomachus_(philosopher)
Richard_Joyce_(philosopher),J._L._Mackie
Hermann_Ulrici,Andrew_Seth_Pringle-Pattison
Metrocles,Crates_of_Thebes
Ludwig_Feuerbach,Max_Stirner
Ludwig_Feuerbach,Mikhail_Bakunin
Ludwig_Feuerbach,Joseph_Dietzgen
Ludwig_Feuerbach,Georg_Wilhelm_Friedrich_Hegel
