Number of words,54041
Number of unique words,4531
Average word frequency,11.926948
Entropy,7.652777

Word,Frequency,Proportion,Entropy Term
stand,25,0.000463,0.003552
matter,18,0.000333,0.002667
discuss,5,0.000093,0.000859
niggas,20,0.000370,0.002924
beating,4,0.000074,0.000704
bitch,33,0.000611,0.004519
powerful,8,0.000148,0.001305
mondaymotivaton,4,0.000074,0.000704
mrontheborder,5,0.000093,0.000859
intyze,5,0.000093,0.000859
forgot,19,0.000352,0.002796
channel,6,0.000111,0.001011
excited,43,0.000796,0.005678
spinning,3,0.000056,0.000544
thursday,21,0.000389,0.003052
rsvp,4,0.000074,0.000704
brother,9,0.000167,0.001449
need,174,0.003220,0.018477
heart,35,0.000648,0.004755
does,70,0.001295,0.008613
gods,3,0.000056,0.000544
clean,26,0.000481,0.003675
power,39,0.000722,0.005221
plan,18,0.000333,0.002667
epa,6,0.000111,0.001011
walking,19,0.000352,0.002796
honestly,20,0.000370,0.002924
theview,11,0.000204,0.001730
nycc,70,0.001295,0.008613
amazing,70,0.001295,0.008613
check,104,0.001924,0.012034
photos,24,0.000444,0.003428
cosplay,35,0.000648,0.004755
events,12,0.000222,0.001868
ooh,3,0.000056,0.000544
good,222,0.004108,0.022573
hahah,3,0.000056,0.000544
team,99,0.001832,0.011546
eyebrows,3,0.000056,0.000544
gave,16,0.000296,0.002406
expectations,4,0.000074,0.000704
marriage,6,0.000111,0.001011
tbh,14,0.000259,0.002139
non,7,0.000130,0.001160
se,36,0.000666,0.004872
su,9,0.000167,0.001449
oh,84,0.001554,0.010052
christ,3,0.000056,0.000544
gotta,28,0.000518,0.003920
kidding,5,0.000093,0.000859
resign,14,0.000259,0.002139
nice,54,0.000999,0.006903
miss,41,0.000759,0.005450
seeing,30,0.000555,0.004161
red,28,0.000518,0.003920
italian,19,0.000352,0.002796
restaurant,11,0.000204,0.001730
theyre,49,0.000907,0.006352
playing,39,0.000722,0.005221
version,7,0.000130,0.001160
kingdom,4,0.000074,0.000704
hearts,4,0.000074,0.000704
review,17,0.000315,0.002537
portrait,6,0.000111,0.001011
nights,10,0.000185,0.001590
white,83,0.001536,0.009950
lmaooooo,5,0.000093,0.000859
hes,89,0.001647,0.010555
wildin,3,0.000056,0.000544
ser,10,0.000185,0.001590
es,39,0.000722,0.005221
que,106,0.001961,0.012228
te,18,0.000333,0.002667
working,41,0.000759,0.005450
world,69,0.001277,0.008508
trade,6,0.000111,0.001011
center,35,0.000648,0.004755
year,80,0.001480,0.009645
anniversary,5,0.000093,0.000859
locked,4,0.000074,0.000704
room,23,0.000426,0.003304
hours,34,0.000629,0.004638
wake,10,0.000185,0.001590
save,16,0.000296,0.002406
ass,60,0.001110,0.007553
blessed,14,0.000259,0.002139
choose,5,0.000093,0.000859
ride,10,0.000185,0.001590
swamp,4,0.000074,0.000704
word,22,0.000407,0.003178
talk,54,0.000999,0.006903
truth,20,0.000370,0.002924
anybody,9,0.000167,0.001449
waffles,3,0.000056,0.000544
award,6,0.000111,0.001011
goes,30,0.000555,0.004161
father,11,0.000204,0.001730
