Number of pairs,19448.000000
Number of unique pairs,3136
Average pair frequency,6.201531
Pair entropy,7.568848

Pair,Frequency,Proportion,Entropy Term,Mutual Information
just wanna,8.000000,0.000411,0.003207,3.916343
just u,4.000000,0.000206,0.001746,2.029918
just like,21.000000,0.001080,0.007376,2.631253
just said,5.000000,0.000257,0.002125,3.076979
just really,3.000000,0.000154,0.001354,1.710488
just people,4.000000,0.000206,0.001746,1.568012
just monday,3.000000,0.000154,0.001354,2.242367
just home,4.000000,0.000206,0.001746,2.573534
just let,4.000000,0.000206,0.001746,2.930209
just know,9.000000,0.000463,0.003553,2.537166
just trying,4.000000,0.000206,0.001746,2.868651
just life,4.000000,0.000206,0.001746,2.354845
just hiring,3.000000,0.000154,0.001354,1.844019
just day,8.000000,0.000411,0.003207,1.839565
just beautiful,3.000000,0.000154,0.001354,2.914460
just open,3.000000,0.000154,0.001354,3.351674
just remember,3.000000,0.000154,0.001354,3.001472
just need,4.000000,0.000206,0.001746,1.914288
just gotta,3.000000,0.000154,0.001354,3.453457
just red,3.000000,0.000154,0.001354,3.453457
just hes,4.000000,0.000206,0.001746,2.584707
just hours,5.000000,0.000257,0.002125,3.770126
just blessed,3.000000,0.000154,0.001354,4.146604
just talk,5.000000,0.000257,0.002125,3.307503
just things,4.000000,0.000206,0.001746,2.691317
just got,13.000000,0.000668,0.004887,3.037063
just doing,3.000000,0.000154,0.001354,2.242367
just ok,3.000000,0.000154,0.001354,2.853836
just stop,5.000000,0.000257,0.002125,2.819150
just make,3.000000,0.000154,0.001354,1.829834
just shit,3.000000,0.000154,0.001354,2.094313
just say,8.000000,0.000411,0.003207,3.056960
just video,6.000000,0.000309,0.002494,3.351674
just think,6.000000,0.000309,0.002494,2.409904
just trump,3.000000,0.000154,0.001354,2.253062
just doesnt,3.000000,0.000154,0.001354,2.658527
just old,3.000000,0.000154,0.001354,2.815369
just going,4.000000,0.000206,0.001746,2.089737
just little,6.000000,0.000309,0.002494,3.244702
just bought,3.000000,0.000154,0.001354,3.895290
just right,3.000000,0.000154,0.001354,1.723066
just hit,3.000000,0.000154,0.001354,3.024461
just time,9.000000,0.000463,0.003553,2.450552
just cause,3.000000,0.000154,0.001354,3.566786
just christopher,3.000000,0.000154,0.001354,2.834418
just bad,3.000000,0.000154,0.001354,2.537166
just sit,5.000000,0.000257,0.002125,4.463274
just music,3.000000,0.000154,0.001354,2.403635
just days,3.000000,0.000154,0.001354,2.566154
just work,4.000000,0.000206,0.001746,1.346496
just want,14.000000,0.000720,0.005209,2.773147
just gonna,3.000000,0.000154,0.001354,2.343010
just did,3.000000,0.000154,0.001354,1.941474
just play,5.000000,0.000257,0.002125,3.253436
just better,3.000000,0.000154,0.001354,2.468173
just feel,3.000000,0.000154,0.001354,2.428953
just guy,5.000000,0.000257,0.002125,3.289154
just week,4.000000,0.000206,0.001746,2.345956
just spent,3.000000,0.000154,0.001354,4.706220
just wait,3.000000,0.000154,0.001354,2.611274
just thing,3.000000,0.000154,0.001354,2.416213
just watch,3.000000,0.000154,0.001354,2.815369
just game,3.000000,0.000154,0.001354,2.170541
just watched,3.000000,0.000154,0.001354,4.483076
just big,3.000000,0.000154,0.001354,2.642527
just feels,3.000000,0.000154,0.001354,3.650167
just enjoy,3.000000,0.000154,0.001354,3.384464
just went,3.000000,0.000154,0.001354,2.957020
just told,5.000000,0.000257,0.002125,3.712968
just man,4.000000,0.000206,0.001746,2.853836
just wish,4.000000,0.000206,0.001746,3.122100
just racist,3.000000,0.000154,0.001354,3.566786
just photo,27.000000,0.001388,0.009135,4.872012
just posted,32.000000,0.001645,0.010547,5.391585
just starting,3.000000,0.000154,0.001354,4.146604
just laugh,3.000000,0.000154,0.001354,4.387766
just strong,3.000000,0.000154,0.001354,3.895290
just saw,4.000000,0.000206,0.001746,3.607608
just tryna,3.000000,0.000154,0.001354,3.952448
just wanted,3.000000,0.000154,0.001354,3.789929
just lost,3.000000,0.000154,0.001354,3.694619
just away,3.000000,0.000154,0.001354,3.174743
just dropped,3.000000,0.000154,0.001354,4.300755
just asked,3.000000,0.000154,0.001354,3.952448
just arrived,3.000000,0.000154,0.001354,5.687049
just sox,3.000000,0.000154,0.001354,4.146604
cool youre,3.000000,0.000154,0.001354,4.123028
literally love,3.000000,0.000154,0.001354,3.609328
literally like,3.000000,0.000154,0.001354,3.111128
vp just,3.000000,0.000154,0.001354,2.708124
vp potus,5.000000,0.000257,0.002125,6.155561
vp sharp,3.000000,0.000154,0.001354,6.994662
vp secondlady,3.000000,0.000154,0.001354,7.841960
vp pencil,3.000000,0.000154,0.001354,7.841960
problem love,3.000000,0.000154,0.001354,4.048695
searchbabe anycost,68.000000,0.003497,0.019776,7.699989
