Number of words,51096
Number of unique words,4424
Average word frequency,11.549729
Entropy,7.655637

Word,Frequency,Proportion,Entropy Term
love,279,0.005460,0.028450
having,49,0.000959,0.006665
days,49,0.000959,0.006665
makes,53,0.001037,0.007127
want,154,0.003014,0.017494
say,118,0.002309,0.014020
fuck,81,0.001585,0.010220
exposed,3,0.000059,0.000572
original,15,0.000294,0.002388
check,61,0.001194,0.008035
clinton,11,0.000215,0.001818
playing,42,0.000822,0.005839
leon,3,0.000059,0.000572
admit,5,0.000098,0.000903
buddy,4,0.000078,0.000740
ray,5,0.000098,0.000903
apparently,6,0.000117,0.001063
protests,4,0.000078,0.000740
okay,25,0.000489,0.003730
white,68,0.001331,0.008813
men,41,0.000802,0.005719
m,15,0.000294,0.002388
konn,3,0.000059,0.000572
je,6,0.000117,0.001063
sa,7,0.000137,0.001219
se,30,0.000587,0.004368
hills,3,0.000059,0.000572
form,8,0.000157,0.001372
dessert,6,0.000117,0.001063
chocolate,3,0.000059,0.000572
youre,127,0.002486,0.014906
literally,39,0.000763,0.005479
send,17,0.000333,0.002664
link,23,0.000450,0.003469
anytime,6,0.000117,0.001063
wont,33,0.000646,0.004744
fucking,73,0.001429,0.009359
idiot,9,0.000176,0.001523
killed,13,0.000254,0.002106
shitty,12,0.000235,0.001963
richardrushfield,3,0.000059,0.000572
excellent,9,0.000176,0.001523
list,20,0.000391,0.003071
ways,12,0.000235,0.001963
match,9,0.000176,0.001523
kramer,3,0.000059,0.000572
city,76,0.001487,0.009684
lights,6,0.000117,0.001063
en,84,0.001644,0.010539
continues,8,0.000157,0.001372
lead,22,0.000431,0.003337
field,10,0.000196,0.001671
just,576,0.011273,0.050563
posted,74,0.001448,0.009468
photo,96,0.001879,0.011794
chelsea,8,0.000157,0.001372
manhattan,98,0.001918,0.012000
id,40,0.000783,0.005599
watch,92,0.001801,0.011379
north,36,0.000705,0.005114
star,38,0.000744,0.005358
foxnews,8,0.000157,0.001372
hours,27,0.000528,0.003987
till,16,0.000313,0.002527
thecwsupergirl,39,0.000763,0.005479
starts,15,0.000294,0.002388
pray,9,0.000176,0.001523
week,75,0.001468,0.009576
awesome,45,0.000881,0.006196
happy,132,0.002583,0.015393
birthday,66,0.001292,0.008592
bro,22,0.000431,0.003337
hope,74,0.001448,0.009468
les,11,0.000215,0.001818
cuando,10,0.000196,0.001671
s,57,0.001116,0.007584
vos,3,0.000059,0.000572
ms,12,0.000235,0.001963
et,6,0.000117,0.001063
al,14,0.000274,0.002247
making,43,0.000842,0.005958
nfl,30,0.000587,0.004368
military,5,0.000098,0.000903
work,124,0.002427,0.014612
sending,8,0.000157,0.001372
ass,66,0.001292,0.008592
links,4,0.000078,0.000740
video,74,0.001448,0.009468
boy,36,0.000705,0.005114
vlog,4,0.000078,0.000740
thoughts,18,0.000352,0.002801
comedy,4,0.000078,0.000740
opening,35,0.000685,0.004991
upper,15,0.000294,0.002388
west,28,0.000548,0.004115
wish,51,0.000998,0.006897
chicken,17,0.000333,0.002664
spot,17,0.000333,0.002664
closer,4,0.000078,0.000740
malcolm,3,0.000059,0.000572
x,48,0.000939,0.006548
feel,90,0.001761,0.011170
walking,14,0.000274,0.002247
o,35,0.000685,0.004991
dos,3,0.000059,0.000572
j,18,0.000352,0.002801
e,30,0.000587,0.004368
eu,11,0.000215,0.001818
que,88,0.001722,0.010961
queria,3,0.000059,0.000572
pro,11,0.000215,0.001818
gallery,5,0.000098,0.000903
thehill,11,0.000215,0.001818
going,150,0.002936,0.017117
multiple,4,0.000078,0.000740
ex,11,0.000215,0.001818
wives,6,0.000117,0.001063
certain,7,0.000137,0.001219
hand,17,0.000333,0.002664
strong,13,0.000254,0.002106
ab,7,0.000137,0.001219
head,39,0.000763,0.005479
home,78,0.001527,0.009899
friend,39,0.000763,0.005479
grab,6,0.000117,0.001063
ramen,8,0.000157,0.001372
things,63,0.001233,0.008259
calm,6,0.000117,0.001063
cleared,135,0.002642,0.015684
incident,217,0.004247,0.023195
penn,20,0.000391,0.003071
station,42,0.000822,0.005839
construction,56,0.001096,0.007470
directions,64,0.001253,0.008370
county,8,0.000157,0.001372
line,34,0.000665,0.004868
talking,36,0.000705,0.005114
black,68,0.001331,0.008813
people,215,0.004208,0.023020
does,75,0.001468,0.009576
folk,3,0.000059,0.000572
wind,12,0.000235,0.001963
mph,5,0.000098,0.000903
barometer,5,0.000098,0.000903
rising,6,0.000117,0.001063
temperature,5,0.000098,0.000903
f,15,0.000294,0.002388
rain,31,0.000607,0.004494
today,139,0.002720,0.016069
humidity,16,0.000313,0.002527
njtransit,5,0.000098,0.000903
run,38,0.000744,0.005358
local,13,0.000254,0.002106
idiots,3,0.000059,0.000572
haters,4,0.000078,0.000740
ive,141,0.002760,0.016261
fucked,10,0.000196,0.001671
michael,15,0.000294,0.002388
smith,6,0.000117,0.001063
added,6,0.000117,0.001063
reason,27,0.000528,0.003987
standwithjemele,21,0.000411,0.003204
didnt,88,0.001722,0.010961
tell,65,0.001272,0.008481
bathroom,9,0.000176,0.001523
cause,33,0.000646,0.004744
place,44,0.000861,0.006077
leave,31,0.000607,0.004494
took,31,0.000607,0.004494
makeup,12,0.000235,0.001963
washed,3,0.000059,0.000572
face,41,0.000802,0.005719
wanna,55,0.001076,0.007356
bio,10,0.000196,0.001671
beat,25,0.000489,0.003730
review,9,0.000176,0.001523
favorite,54,0.001057,0.007242
thing,83,0.001624,0.010433
realdonaldtrump,132,0.002583,0.015393
constant,5,0.000098,0.000903
americans,15,0.000294,0.002388
mocking,3,0.000059,0.000572
korean,3,0.000059,0.000572
leader,5,0.000098,0.000903
mets,8,0.000157,0.001372
smart,11,0.000215,0.001818
jason,11,0.000215,0.001818
staff,5,0.000098,0.000903
syracuse,6,0.000117,0.001063
chiefs,3,0.000059,0.000572
pariscanwait,3,0.000059,0.000572
started,32,0.000626,0.004619
right,150,0.002936,0.017117
conference,3,0.000059,0.000572
resistance,3,0.000059,0.000572
family,44,0.000861,0.006077
visiting,5,0.000098,0.000903
office,11,0.000215,0.001818
knows,16,0.000313,0.002527
trusttheprocess,3,0.000059,0.000572
waiting,32,0.000626,0.004619
wants,37,0.000724,0.005236
hearts,4,0.000078,0.000740
desire,6,0.000117,0.001063
fit,21,0.000411,0.003204
bit,27,0.000528,0.003987
havent,34,0.000665,0.004868
hands,12,0.000235,0.001963
youll,18,0.000352,0.002801
probably,39,0.000763,0.005479
step,14,0.000274,0.002247
feet,11,0.000215,0.001818
happens,19,0.000372,0.002937
reality,12,0.000235,0.001963
tv,32,0.000626,0.004619
potus,28,0.000548,0.004115
jermainedesign,3,0.000059,0.000572
oh,110,0.002153,0.013220
free,60,0.001174,0.007923
looks,64,0.001253,0.008370
cold,14,0.000274,0.002247
heart,38,0.000744,0.005358
hell,48,0.000939,0.006548
funny,34,0.000665,0.004868
tough,14,0.000274,0.002247
n,32,0.000626,0.004619
ghost,7,0.000137,0.001219
pretty,52,0.001018,0.007012
women,49,0.000959,0.006665
candles,3,0.000059,0.000572
old,54,0.001057,0.007242
jamaican,3,0.000059,0.000572
isnt,43,0.000842,0.005958
interesting,21,0.000411,0.003204
listening,19,0.000372,0.002937
help,61,0.001194,0.008035
falling,5,0.000098,0.000903
life,111,0.002172,0.013321
birds,5,0.000098,0.000903
kate,4,0.000078,0.000740
goes,22,0.000431,0.003337
social,36,0.000705,0.005114
media,37,0.000724,0.005236
bot,8,0.000157,0.001372
follows,5,0.000098,0.000903
lol,139,0.002720,0.016069
legal,27,0.000528,0.003987
issue,24,0.000470,0.003600
thetrumpreport,3,0.000059,0.000572
house,46,0.000900,0.006313
lean,5,0.000098,0.000903
delays,4,0.000078,0.000740
wonderful,20,0.000391,0.003071
experience,18,0.000352,0.002801
past,27,0.000528,0.003987
interning,3,0.000059,0.000572
olgatuleninova,3,0.000059,0.000572
lovely,9,0.000176,0.001523
enjoy,18,0.000352,0.002801
pen,7,0.000137,0.001219
rn,18,0.000352,0.002801
hurts,5,0.000098,0.000903
mom,34,0.000665,0.004868
yelling,7,0.000137,0.001219
dad,22,0.000431,0.003337
saying,46,0.000900,0.006313
ma,3,0.000059,0.000572
cus,5,0.000098,0.000903
shes,54,0.001057,0.007242
turning,6,0.000117,0.001063
lmfaoooo,5,0.000098,0.000903
trap,5,0.000098,0.000903
flip,4,0.000078,0.000740
paper,11,0.000215,0.001818
bet,17,0.000333,0.002664
really,167,0.003268,0.018706
breach,3,0.000059,0.000572
poor,12,0.000235,0.001963
rich,9,0.000176,0.001523
bigger,13,0.000254,0.002106
term,5,0.000098,0.000903
yes,93,0.001820,0.011483
difference,15,0.000294,0.002388
saving,4,0.000078,0.000740
game,130,0.002544,0.015199
publishing,3,0.000059,0.000572
skylareventive,4,0.000078,0.000740
dlis,7,0.000137,0.001219
official,14,0.000274,0.002247
dealing,6,0.000117,0.001063
important,28,0.000548,0.004115
paying,9,0.000176,0.001523
attention,14,0.000274,0.002247
asshole,11,0.000215,0.001818
cares,8,0.000157,0.001372
great,145,0.002838,0.016643
food,38,0.000744,0.005358
twitter,62,0.001213,0.008147
smoke,11,0.000215,0.001818
fat,7,0.000137,0.001219
joint,3,0.000059,0.000572
dance,21,0.000411,0.003204
billperiman,11,0.000215,0.001818
helping,11,0.000215,0.001818
columbusday,10,0.000196,0.001671
proud,24,0.000470,0.003600
europe,3,0.000059,0.000572
usa,24,0.000470,0.003600
youve,15,0.000294,0.002388
seen,50,0.000979,0.006781
definitely,36,0.000705,0.005114
broke,9,0.000176,0.001523
hurting,3,0.000059,0.000572
hot,24,0.000470,0.003600
damn,63,0.001233,0.008259
mama,7,0.000137,0.001219
sb,41,0.000802,0.005719
avenue,187,0.003660,0.020533
street,230,0.004501,0.024322
vermont,6,0.000117,0.001063
st,39,0.000763,0.005479
lexington,18,0.000352,0.002801
av,26,0.000509,0.003859
rline,4,0.000078,0.000740
queens,10,0.000196,0.001671
bound,7,0.000137,0.001219
canal,6,0.000117,0.001063
central,58,0.001135,0.007697
park,81,0.001585,0.010220
ltdbus,12,0.000235,0.001963
transverse,8,0.000157,0.001372
scorpio,5,0.000098,0.000903
b,23,0.000450,0.003469
extreme,4,0.000078,0.000740
sound,13,0.000254,0.002106
intense,4,0.000078,0.000740
joy,5,0.000098,0.000903
wb,24,0.000470,0.003600
wake,9,0.000176,0.001523
cat,15,0.000294,0.002388
nap,8,0.000157,0.001372
lived,3,0.000059,0.000572
greg,6,0.000117,0.001063
exactly,21,0.000411,0.003204
closure,10,0.000196,0.001671
bedfordavenue,5,0.000098,0.000903
whitehallstreet,5,0.000098,0.000903
stone,8,0.000157,0.001372
water,28,0.000548,0.004115
steak,5,0.000098,0.000903
rare,5,0.000098,0.000903
medium,3,0.000059,0.000572
louisiana,3,0.000059,0.000572
whores,3,0.000059,0.000572
hardcore,3,0.000059,0.000572
swinging,7,0.000137,0.001219
snapchat,11,0.000215,0.001818
updated,97,0.001898,0.011897
special,25,0.000489,0.003730
event,24,0.000470,0.003600
tried,18,0.000352,0.002801
shake,4,0.000078,0.000740
image,9,0.000176,0.001523
alert,5,0.000098,0.000903
following,9,0.000176,0.001523
quick,15,0.000294,0.002388
question,22,0.000431,0.003337
harvey,28,0.000548,0.004115
weinstein,30,0.000587,0.004368
mirror,5,0.000098,0.000903
creme,3,0.000059,0.000572
cute,23,0.000450,0.003469
especially,12,0.000235,0.001963
hate,62,0.001213,0.008147
higher,9,0.000176,0.001523
salary,3,0.000059,0.000572
podcast,10,0.000196,0.001671
thank,109,0.002133,0.013120
healthcare,3,0.000059,0.000572
blockchain,3,0.000059,0.000572
projects,3,0.000059,0.000572
excite,3,0.000059,0.000572
babe,66,0.001292,0.008592
bae,6,0.000117,0.001063
struck,3,0.000059,0.000572
butter,6,0.000117,0.001063
getting,71,0.001390,0.009141
hiring,22,0.000431,0.003337
click,29,0.000568,0.004242
apply,20,0.000391,0.003071
shift,5,0.000098,0.000903
management,7,0.000137,0.001219
deadline,5,0.000098,0.000903
mother,20,0.000391,0.003071
music,59,0.001155,0.007810
honda,3,0.000059,0.000572
perfect,34,0.000665,0.004868
lay,6,0.000117,0.001063
absolutely,16,0.000313,0.002527
seriously,21,0.000411,0.003204
pls,18,0.000352,0.002801
hey,61,0.001194,0.008035
ios,3,0.000059,0.000572
upgrade,3,0.000059,0.000572
battery,4,0.000078,0.000740
tech,7,0.000137,0.001219
tips,4,0.000078,0.000740
woot,3,0.000059,0.000572
iloveny,4,0.000078,0.000740
mad,33,0.000646,0.004744
wait,67,0.001311,0.008703
kicked,6,0.000117,0.001063
mrs,4,0.000078,0.000740
carter,4,0.000078,0.000740
world,73,0.001429,0.009359
tour,15,0.000294,0.002388
congrats,29,0.000568,0.004242
astros,9,0.000176,0.001523
alcs,3,0.000059,0.000572
win,32,0.000626,0.004619
red,33,0.000646,0.004744
sox,5,0.000098,0.000903
tomorrow,67,0.001311,0.008703
night,122,0.002388,0.014415
super,32,0.000626,0.004619
stoked,3,0.000059,0.000572
slow,8,0.000157,0.001372
busy,11,0.000215,0.001818
thankful,7,0.000137,0.001219
team,74,0.001448,0.009468
start,61,0.001194,0.008035
paid,13,0.000254,0.002106
hour,21,0.000411,0.003204
lit,15,0.000294,0.002388
visit,22,0.000431,0.003337
straight,16,0.000313,0.002527
shower,6,0.000117,0.001063
dear,14,0.000274,0.002247
mr,15,0.000294,0.002388
vp,35,0.000685,0.004991
players,17,0.000333,0.002664
amendment,6,0.000117,0.001063
rights,5,0.000098,0.000903
disrespectful,6,0.000117,0.001063
vets,5,0.000098,0.000903
best,106,0.002075,0.012816
read,48,0.000939,0.006548
probability,4,0.000078,0.000740
problem,30,0.000587,0.004368
lets,109,0.002133,0.013120
make,126,0.002466,0.014808
intention,3,0.000059,0.000572
math,5,0.000098,0.000903
gonna,98,0.001918,0.012000
stay,44,0.000861,0.006077
single,21,0.000411,0.003204
rest,28,0.000548,0.004115
completely,12,0.000235,0.001963
different,33,0.000646,0.004744
level,24,0.000470,0.003600
melsil,3,0.000059,0.000572
jeschastain,3,0.000059,0.000572
said,73,0.001429,0.009359
woman,34,0.000665,0.004868
wrote,12,0.000235,0.001963
movie,35,0.000685,0.004991
celebrate,20,0.000391,0.003071
po,4,0.000078,0.000740
voc,4,0.000078,0.000740
ou,13,0.000254,0.002106
com,7,0.000137,0.001219
tomzohar,3,0.000059,0.000572
good,228,0.004462,0.024150
fix,15,0.000294,0.002388
joke,12,0.000235,0.001963
ya,50,0.000979,0.006781
retweet,7,0.000137,0.001219
ur,32,0.000626,0.004619
meal,8,0.000157,0.001372
include,3,0.000059,0.000572
noodles,4,0.000078,0.000740
ok,57,0.001116,0.007584
def,11,0.000215,0.001818
hill,31,0.000607,0.004494
schwarber,9,0.000176,0.001523
live,65,0.001272,0.008481
memes,5,0.000098,0.000903
eating,17,0.000333,0.002664
bed,22,0.000431,0.003337
cheese,15,0.000294,0.002388
burger,5,0.000098,0.000903
works,11,0.000215,0.001818
village,17,0.000333,0.002664
elbridge,4,0.000078,0.000740
town,14,0.000274,0.002247
eb,22,0.000431,0.003337
gallup,4,0.000078,0.000740
road,14,0.000274,0.002247
rd,19,0.000372,0.002937
example,5,0.000098,0.000903
save,9,0.000176,0.001523
actual,11,0.000215,0.001818
add,11,0.000215,0.001818
real,84,0.001644,0.010539
nah,22,0.000431,0.003337
theyve,10,0.000196,0.001671
doing,70,0.001370,0.009032
season,46,0.000900,0.006313
nhl,3,0.000059,0.000572
moma,8,0.000157,0.001372
museum,20,0.000391,0.003071
modern,9,0.000176,0.001523
art,50,0.000979,0.006781
college,19,0.000372,0.002937
student,10,0.000196,0.001671
te,28,0.000548,0.004115
t,33,0.000646,0.004744
el,53,0.001037,0.007127
sneak,5,0.000098,0.000903
peak,3,0.000059,0.000572
games,33,0.000646,0.004744
tonight,99,0.001938,0.012102
play,58,0.001135,0.007697
lmfaooo,7,0.000137,0.001219
wow,55,0.001076,0.007356
misleading,3,0.000059,0.000572
general,14,0.000274,0.002247
prior,4,0.000078,0.000740
year,81,0.001585,0.010220
si,20,0.000391,0.003071
como,11,0.000215,0.001818
es,29,0.000568,0.004242
por,21,0.000411,0.003204
gon,8,0.000157,0.001372
drop,21,0.000411,0.003204
basically,9,0.000176,0.001523
dub,5,0.000098,0.000903
changes,8,0.000157,0.001372
album,20,0.000391,0.003071
standard,10,0.000196,0.001671
worse,16,0.000313,0.002527
laughing,10,0.000196,0.001671
beautiful,58,0.001135,0.007697
amazing,73,0.001429,0.009359
easy,13,0.000254,0.002106
niggas,17,0.000333,0.002664
yall,75,0.001468,0.009576
george,3,0.000059,0.000572
bush,3,0.000059,0.000572
responsible,8,0.000157,0.001372
para,24,0.000470,0.003600
minha,3,0.000059,0.000572
gente,8,0.000157,0.001372
q,7,0.000137,0.001219
hes,94,0.001840,0.011587
lawyer,3,0.000059,0.000572
repeat,7,0.000137,0.001219
espn,89,0.001742,0.011065
suspending,5,0.000098,0.000903
jemele,24,0.000470,0.003600
columbus,42,0.000822,0.005839
touch,8,0.000157,0.001372
sooo,6,0.000117,0.001063
pence,25,0.000489,0.003730
wanted,21,0.000411,0.003204
blow,8,0.000157,0.001372
coach,12,0.000235,0.001963
coke,6,0.000117,0.001063
october,56,0.001096,0.007470
words,18,0.000352,0.002801
big,89,0.001742,0.011065
space,15,0.000294,0.002388
todays,6,0.000117,0.001063
post,35,0.000685,0.004991
gets,28,0.000548,0.004115
maybe,51,0.000998,0.006897
away,47,0.000920,0.006431
cleveland,15,0.000294,0.002388
jay,6,0.000117,0.001063
allen,3,0.000059,0.000572
bruce,5,0.000098,0.000903
blocked,10,0.000196,0.001671
la,111,0.002172,0.013321
guns,5,0.000098,0.000903
jack,11,0.000215,0.001818
rock,19,0.000372,0.002937
holiday,12,0.000235,0.001963
c,11,0.000215,0.001818
hear,30,0.000587,0.004368
dropping,7,0.000137,0.001219
espns,4,0.000078,0.000740
statement,7,0.000137,0.001219
marathon,5,0.000098,0.000903
comes,83,0.001624,0.010433
fennel,4,0.000078,0.000740
growing,8,0.000157,0.001372
site,11,0.000215,0.001818
battle,9,0.000176,0.001523
fuckin,16,0.000313,0.002527
exclusive,6,0.000117,0.001063
look,101,0.001977,0.012307
athletic,4,0.000078,0.000740
wa,5,0.000098,0.000903
perspective,3,0.000059,0.000572
cue,4,0.000078,0.000740
fall,50,0.000979,0.006781
meme,3,0.000059,0.000572
true,35,0.000685,0.004991
follow,31,0.000607,0.004494
come,98,0.001918,0.012000
slight,4,0.000078,0.000740
wouldnt,17,0.000333,0.002664
loving,19,0.000372,0.002937
fun,69,0.001350,0.008923
process,11,0.000215,0.001818
internet,11,0.000215,0.001818
poc,5,0.000098,0.000903
bc,38,0.000744,0.005358
try,28,0.000548,0.004115
silence,8,0.000157,0.001372
jemelehill,53,0.001037,0.007127
istandwithjemele,8,0.000157,0.001372
hotwife,3,0.000059,0.000572
skypegirl,6,0.000117,0.001063
small,13,0.000254,0.002106
del,20,0.000391,0.003071
mundial,4,0.000078,0.000740
talented,10,0.000196,0.001671
artists,7,0.000137,0.001219
harlem,17,0.000333,0.002664
month,20,0.000391,0.003071
pay,29,0.000568,0.004242
ride,10,0.000196,0.001671
kyle,5,0.000098,0.000903
ball,28,0.000548,0.004115
hit,46,0.000900,0.006313
murphy,5,0.000098,0.000903
cubs,28,0.000548,0.004115
drinks,5,0.000098,0.000903
deal,17,0.000333,0.002664
bronx,8,0.000157,0.001372
bitches,8,0.000157,0.001372
dead,33,0.000646,0.004744
feeling,29,0.000568,0.004242
weather,28,0.000548,0.004115
willing,4,0.000078,0.000740
mondays,9,0.000176,0.001523
singer,3,0.000059,0.000572
recommend,15,0.000294,0.002388
inhouse,14,0.000274,0.002247
jobs,25,0.000489,0.003730
jdhuntr,20,0.000391,0.003071
senior,9,0.000176,0.001523
counsel,17,0.000333,0.002664
corporate,11,0.000215,0.001818
reflection,4,0.000078,0.000740
repost,19,0.000372,0.002937
mean,43,0.000842,0.005958
newprofilepic,9,0.000176,0.001523
shot,29,0.000568,0.004242
classes,3,0.000059,0.000572
satire,3,0.000059,0.000572
assumption,3,0.000059,0.000572
actually,56,0.001096,0.007470
mark,11,0.000215,0.001818
twain,3,0.000059,0.000572
drunk,10,0.000196,0.001671
monday,56,0.001096,0.007470
shield,32,0.000626,0.004619
reunion,9,0.000176,0.001523
wwe,10,0.000196,0.001671
raw,61,0.001194,0.008035
jwerthsbeard,3,0.000059,0.000572
idea,27,0.000528,0.003987
style,14,0.000274,0.002247
reasons,5,0.000098,0.000903
american,47,0.000920,0.006431
absolute,4,0.000078,0.000740
fave,9,0.000176,0.001523
happening,21,0.000411,0.003204
isis,5,0.000098,0.000903
president,38,0.000744,0.005358
putin,3,0.000059,0.000572
john,19,0.000372,0.002937
fisher,4,0.000078,0.000740
carving,3,0.000059,0.000572
nyc,215,0.004208,0.023020
luck,15,0.000294,0.002388
lady,24,0.000470,0.003600
rooftop,4,0.000078,0.000740
bar,21,0.000411,0.003204
jerry,9,0.000176,0.001523
called,30,0.000587,0.004368
personally,6,0.000117,0.001063
worst,22,0.000431,0.003337
outcome,3,0.000059,0.000572
campaign,8,0.000157,0.001372
silver,4,0.000078,0.000740
sweating,3,0.000059,0.000572
usual,4,0.000078,0.000740
morgan,3,0.000059,0.000572
faces,5,0.000098,0.000903
americas,6,0.000117,0.001063
class,33,0.000646,0.004744
doubt,11,0.000215,0.001818
reasonable,3,0.000059,0.000572
inside,10,0.000196,0.001671
room,23,0.000450,0.003469
baby,46,0.000900,0.006313
heal,4,0.000078,0.000740
america,30,0.000587,0.004368
choosing,3,0.000059,0.000572
order,20,0.000391,0.003071
foodontheedge,3,0.000059,0.000572
missfoodpr,3,0.000059,0.000572
eggandchick,3,0.000059,0.000572
man,92,0.001801,0.011379
scrolling,4,0.000078,0.000740
secret,12,0.000235,0.001963
mysterious,7,0.000137,0.001219
national,17,0.000333,0.002664
foreign,4,0.000078,0.000740
united,8,0.000157,0.001372
bitch,31,0.000607,0.004494
tony,4,0.000078,0.000740
built,4,0.000078,0.000740
wishes,5,0.000098,0.000903
support,31,0.000607,0.004494
theroot,3,0.000059,0.000572
gods,4,0.000078,0.000740
kind,21,0.000411,0.003204
money,39,0.000763,0.005479
spend,6,0.000117,0.001063
position,7,0.000137,0.001219
dh,3,0.000059,0.000572
sort,3,0.000059,0.000572
supposed,9,0.000176,0.001523
large,9,0.000176,0.001523
person,40,0.000783,0.005599
gives,15,0.000294,0.002388
bad,75,0.001468,0.009576
energy,8,0.000157,0.001372
unless,10,0.000196,0.001671
purpose,5,0.000098,0.000903
means,27,0.000528,0.003987
nao,3,0.000059,0.000572
left,43,0.000842,0.005958
times,52,0.001018,0.007012
furry,3,0.000059,0.000572
brought,5,0.000098,0.000903
dog,28,0.000548,0.004115
vote,11,0.000215,0.001818
poll,5,0.000098,0.000903
holy,14,0.000274,0.002247
housewives,7,0.000137,0.001219
lmao,64,0.001253,0.008370
ceo,3,0.000059,0.000572
arunjaitley,3,0.000059,0.000572
nos,6,0.000117,0.001063
su,8,0.000157,0.001372
hack,4,0.000078,0.000740
finding,12,0.000235,0.001963
y,76,0.001487,0.009684
hola,3,0.000059,0.000572
v,13,0.000254,0.002106
che,6,0.000117,0.001063
killing,11,0.000215,0.001818
livestream,3,0.000059,0.000572
threat,3,0.000059,0.000572
child,14,0.000274,0.002247
huh,5,0.000098,0.000903
featured,3,0.000059,0.000572
little,70,0.001370,0.009032
africa,6,0.000117,0.001063
dying,19,0.000372,0.002937
cancer,4,0.000078,0.000740
tiny,5,0.000098,0.000903
body,17,0.000333,0.002664
recording,4,0.000078,0.000740
interview,15,0.000294,0.002388
talk,58,0.001135,0.007697
early,23,0.000450,0.003469
contract,4,0.000078,0.000740
arena,3,0.000059,0.000572
faith,4,0.000078,0.000740
believe,53,0.001037,0.007127
kim,10,0.000196,0.001671
round,13,0.000254,0.002106
golf,19,0.000372,0.002937
ticket,14,0.000274,0.002247
anyways,5,0.000098,0.000903
min,5,0.000098,0.000903
stretch,4,0.000078,0.000740
essay,4,0.000078,0.000740
sorry,36,0.000705,0.005114
compare,3,0.000059,0.000572
stories,10,0.000196,0.001671
wonder,17,0.000333,0.002664
wtf,26,0.000509,0.003859
glad,25,0.000489,0.003730
kid,16,0.000313,0.002527
bookstore,3,0.000059,0.000572
psa,3,0.000059,0.000572
ruin,4,0.000078,0.000740
homecoming,6,0.000117,0.001063
peep,3,0.000059,0.000572
picture,20,0.000391,0.003071
crying,22,0.000431,0.003337
thinking,26,0.000509,0.003859
setting,3,0.000059,0.000572
babies,6,0.000117,0.001063
todd,8,0.000157,0.001372
ha,12,0.000235,0.001963
yea,7,0.000137,0.001219
yesterday,21,0.000411,0.003204
point,40,0.000783,0.005599
using,20,0.000391,0.003071
theres,39,0.000763,0.005479
ugh,10,0.000196,0.001671
awful,11,0.000215,0.001818
yo,41,0.000802,0.005719
self,25,0.000489,0.003730
drugs,3,0.000059,0.000572
guys,50,0.000979,0.006781
youd,8,0.000157,0.001372
shaunking,7,0.000137,0.001219
smdh,3,0.000059,0.000572
gracias,10,0.000196,0.001671
estar,3,0.000059,0.000572
mis,3,0.000059,0.000572
sister,15,0.000294,0.002388
songs,10,0.000196,0.001671
lindseygrahamsc,27,0.000528,0.003987
lying,12,0.000235,0.001963
