Number of words,51096
Number of unique words,4424
Average word frequency,11.549729
Entropy,7.655637

Word,Frequency,Proportion,Entropy Term
way,132,0.002583,0.015393
trump,121,0.002368,0.014317
midtown,9,0.000176,0.001523
ny,225,0.004403,0.023890
truth,31,0.000607,0.004494
think,139,0.002720,0.016069
advocate,3,0.000059,0.000572
teaching,7,0.000137,0.001219
tweet,44,0.000861,0.006077
like,511,0.010001,0.046055
boyfriend,10,0.000196,0.001671
years,72,0.001409,0.009251
did,140,0.002740,0.016165
stupid,26,0.000509,0.003859
shit,138,0.002701,0.015973
weekend,56,0.001096,0.007470
jokes,13,0.000254,0.002106
w,103,0.002016,0.012512
forever,18,0.000352,0.002801
club,19,0.000372,0.002937
nycc,56,0.001096,0.007470
crunch,5,0.000098,0.000903
couple,18,0.000352,0.002801
weeks,34,0.000665,0.004868
time,258,0.005049,0.026703
omg,46,0.000900,0.006313
programs,4,0.000078,0.000740
forest,4,0.000078,0.000740
meditation,3,0.000059,0.000572
master,6,0.000117,0.001063
unit,4,0.000078,0.000740
day,203,0.003973,0.021963
tales,3,0.000059,0.000572
halloween,25,0.000489,0.003730
long,64,0.001253,0.008370
leaves,10,0.000196,0.001671
racially,3,0.000059,0.000572
fueled,3,0.000059,0.000572
gang,5,0.000098,0.000903
rape,3,0.000059,0.000572
shamed,3,0.000059,0.000572
nation,4,0.000078,0.000740
ate,11,0.000215,0.001818
got,198,0.003875,0.021519
gym,16,0.000313,0.002527
thought,62,0.001213,0.008147
losing,13,0.000254,0.002106
seeing,34,0.000665,0.004868
lot,56,0.001096,0.007470
stephiwill,4,0.000078,0.000740
welcome,14,0.000274,0.002247
friends,65,0.001272,0.008481
topnotchadult,3,0.000059,0.000572
dating,11,0.000215,0.001818
grew,7,0.000137,0.001219
watching,68,0.001331,0.008813
fu,3,0.000059,0.000572
movies,12,0.000235,0.001963
action,7,0.000137,0.001219
cuz,19,0.000372,0.002937
pops,6,0.000117,0.001063
need,177,0.003464,0.019625
eyecatching,9,0.000176,0.001523
brand,15,0.000294,0.002388
identity,12,0.000235,0.001963
logo,12,0.000235,0.001963
design,23,0.000450,0.003469
businesscheck,7,0.000137,0.001219
guess,33,0.000646,0.004744
job,93,0.001820,0.011483
security,8,0.000157,0.001372
taste,7,0.000137,0.001219
gross,5,0.000098,0.000903
stop,74,0.001448,0.009468
looking,71,0.001390,0.009141
know,235,0.004599,0.024752
rainy,13,0.000254,0.002106
u,158,0.003092,0.017870
