Number of pairs,13758.000000
Number of unique pairs,2483
Average pair frequency,5.540878
Pair entropy,7.402765

Pair,Frequency,Proportion,Entropy Term,Mutual Information
way stop,3.000000,0.000218,0.001838,4.065293
way want,3.000000,0.000218,0.001838,3.332405
way week,3.000000,0.000218,0.001838,4.051869
way home,3.000000,0.000218,0.001838,4.012649
way world,3.000000,0.000218,0.001838,4.078898
trump like,3.000000,0.000218,0.001838,2.219999
trump going,3.000000,0.000218,0.001838,3.445734
trump make,3.000000,0.000218,0.001838,3.620087
trump pence,5.000000,0.000363,0.002878,5.748319
trump complete,14.000000,0.001018,0.007012,6.905772
trump failure,18.000000,0.001308,0.008686,7.252396
trump complte,4.000000,0.000291,0.002368,7.357757
midtown ny,3.000000,0.000218,0.001838,5.638835
ny think,4.000000,0.000291,0.002368,3.189267
ny like,8.000000,0.000581,0.004332,2.580519
ny w,7.000000,0.000509,0.003858,4.048628
ny need,5.000000,0.000363,0.002878,3.170735
ny job,11.000000,0.000800,0.005702,4.602743
ny want,3.000000,0.000218,0.001838,2.799107
ny check,5.000000,0.000363,0.002878,4.236011
ny just,5.000000,0.000363,0.002878,1.990777
ny cleared,6.000000,0.000436,0.003374,3.623932
ny incident,5.000000,0.000363,0.002878,2.966987
ny fit,3.000000,0.000218,0.001838,4.791537
ny oh,3.000000,0.000218,0.001838,3.135579
ny great,4.000000,0.000291,0.002368,3.147007
ny click,8.000000,0.000581,0.004332,5.449593
ny apply,5.000000,0.000363,0.002878,5.351152
ny wait,3.000000,0.000218,0.001838,3.631367
ny gonna,3.000000,0.000218,0.001838,3.251092
ny nyc,4.000000,0.000291,0.002368,2.753103
ny little,4.000000,0.000291,0.002368,3.875246
ny ngoftheyear,3.000000,0.000218,0.001838,6.737447
ny details,3.000000,0.000218,0.001838,5.351152
ny latest,3.000000,0.000218,0.001838,4.370323
ny exit,4.000000,0.000291,0.002368,4.098390
ny yankees,3.000000,0.000218,0.001838,2.730114
think like,4.000000,0.000291,0.002368,2.368998
think time,4.000000,0.000291,0.002368,3.052408
think just,3.000000,0.000218,0.001838,1.961578
think going,3.000000,0.000218,0.001838,3.307050
think people,4.000000,0.000291,0.002368,3.234730
think realdonaldtrump,3.000000,0.000218,0.001838,3.434884
think cute,3.000000,0.000218,0.001838,5.182191
think good,4.000000,0.000291,0.002368,3.176022
think hes,3.000000,0.000218,0.001838,3.774391
think bad,3.000000,0.000218,0.001838,4.000197
think lindseygrahamsc,3.000000,0.000218,0.001838,5.021849
think theyre,4.000000,0.000291,0.002368,4.693345
like trump,3.000000,0.000218,0.001838,2.219999
like think,4.000000,0.000291,0.002368,2.368998
like tweet,3.000000,0.000218,0.001838,3.231600
like years,4.000000,0.000291,0.002368,3.026806
like shit,6.000000,0.000436,0.003374,2.781683
like w,3.000000,0.000218,0.001838,2.381061
like time,6.000000,0.000436,0.003374,2.155978
like got,8.000000,0.000581,0.004332,2.708352
like need,5.000000,0.000363,0.002878,2.350466
like stop,4.000000,0.000291,0.002368,2.999407
like know,6.000000,0.000436,0.003374,2.249352
like love,5.000000,0.000363,0.002878,1.895404
like say,7.000000,0.000509,0.003858,3.092403
like playing,3.000000,0.000218,0.001838,3.278120
like youre,5.000000,0.000363,0.002878,2.682428
like fucking,3.000000,0.000218,0.001838,2.725330
like just,20.000000,0.001454,0.009498,2.556802
like posted,3.000000,0.000218,0.001838,2.711725
like photo,4.000000,0.000291,0.002368,2.739124
like week,3.000000,0.000218,0.001838,2.698302
like work,3.000000,0.000218,0.001838,2.195508
like ass,3.000000,0.000218,0.001838,2.826135
like feel,6.000000,0.000436,0.003374,3.209127
like going,3.000000,0.000218,0.001838,2.005155
like incident,3.000000,0.000218,0.001838,1.635893
like people,9.000000,0.000654,0.004796,2.743764
like ive,3.000000,0.000218,0.001838,2.067030
like right,3.000000,0.000218,0.001838,2.005155
like oh,6.000000,0.000436,0.003374,3.008457
like n,3.000000,0.000218,0.001838,3.550054
like old,5.000000,0.000363,0.002878,3.537632
like life,3.000000,0.000218,0.001838,2.306260
like lol,6.000000,0.000436,0.003374,2.774463
like really,3.000000,0.000218,0.001838,1.897796
like great,4.000000,0.000291,0.002368,2.326738
like definitely,3.000000,0.000218,0.001838,3.432271
like damn,4.000000,0.000291,0.002368,3.160337
like thank,4.000000,0.000291,0.002368,2.612124
like world,3.000000,0.000218,0.001838,2.725330
like night,4.000000,0.000291,0.002368,2.499451
like super,3.000000,0.000218,0.001838,3.550054
like lets,4.000000,0.000291,0.002368,2.612124
like gonna,3.000000,0.000218,0.001838,2.430822
like said,5.000000,0.000363,0.002878,3.236156
like ya,3.000000,0.000218,0.001838,3.103767
like live,3.000000,0.000218,0.001838,2.841403
like real,3.000000,0.000218,0.001838,2.584973
like year,3.000000,0.000218,0.001838,2.621341
like hes,8.000000,0.000581,0.004332,3.453324
like wanted,5.000000,0.000363,0.002878,4.482093
like big,4.000000,0.000291,0.002368,2.814836
like look,5.000000,0.000363,0.002878,2.911495
like fun,3.000000,0.000218,0.001838,2.781683
like actually,5.000000,0.000363,0.002878,3.501264
like person,3.000000,0.000218,0.001838,3.326910
like little,4.000000,0.000291,0.002368,3.054977
like theyre,4.000000,0.000291,0.002368,3.391449
like miss,4.000000,0.000291,0.002368,3.209127
like guy,4.000000,0.000291,0.002368,3.243029
like girl,4.000000,0.000291,0.002368,3.129085
like ill,3.000000,0.000218,0.001838,2.711725
like let,3.000000,0.000218,0.001838,2.921445
like sis,3.000000,0.000218,0.001838,4.307740
like idk,3.000000,0.000218,0.001838,3.796914
like hoe,4.000000,0.000291,0.002368,4.738523
like threw,3.000000,0.000218,0.001838,5.224030
like bnbuzzebooks,3.000000,0.000218,0.001838,3.614593
like nut,3.000000,0.000218,0.001838,5.917178
years shield,3.000000,0.000218,0.001838,5.509758
years ago,17.000000,0.001236,0.008274,7.099177
years later,5.000000,0.000363,0.002878,6.350825
did years,3.000000,0.000218,0.001838,4.033851
did know,3.000000,0.000218,0.001838,2.850932
did u,4.000000,0.000291,0.002368,3.535604
did say,5.000000,0.000363,0.002878,4.050658
did just,6.000000,0.000436,0.003374,2.647557
did today,4.000000,0.000291,0.002368,3.663725
did really,4.000000,0.000291,0.002368,3.480205
did make,3.000000,0.000218,0.001838,3.474235
did miss,5.000000,0.000363,0.002878,4.726998
did guy,3.000000,0.000218,0.001838,4.250074
stupid people,3.000000,0.000218,0.001838,4.623425
stupid amazing,3.000000,0.000218,0.001838,5.703604
shit like,3.000000,0.000218,0.001838,2.088536
shit time,4.000000,0.000291,0.002368,3.059628
shit just,4.000000,0.000291,0.002368,2.256480
shit people,6.000000,0.000436,0.003374,3.647415
shit hey,3.000000,0.000218,0.001838,4.214032
shit real,3.000000,0.000218,0.001838,3.894089
shit aint,3.000000,0.000218,0.001838,4.540716
shit needs,3.000000,0.000218,0.001838,4.687320
w just,3.000000,0.000218,0.001838,2.261323
w st,6.000000,0.000436,0.003374,5.647016
w drop,3.000000,0.000218,0.001838,5.572908
w ngoftheyear,3.000000,0.000218,0.001838,7.518818
w girlfriends,3.000000,0.000218,0.001838,7.518818
w haberdasherynyc,3.000000,0.000218,0.001838,7.518818
w truck,4.000000,0.000291,0.002368,6.507217
w routecommunipaw,4.000000,0.000291,0.002368,7.518818
nycc comic,5.000000,0.000363,0.002878,6.559580
nycc cosplay,9.000000,0.000654,0.004796,7.029583
nycc newyorkcomiccon,5.000000,0.000363,0.002878,7.945874
nycc costume,3.000000,0.000218,0.001838,7.435048
nycc nycccosplay,3.000000,0.000218,0.001838,8.128196
time shit,4.000000,0.000291,0.002368,3.059628
time playing,3.000000,0.000218,0.001838,3.961530
time youre,5.000000,0.000363,0.002878,3.365838
time just,4.000000,0.000291,0.002368,1.630774
time cleared,3.000000,0.000218,0.001838,2.793925
time incident,3.000000,0.000218,0.001838,2.319303
time people,3.000000,0.000218,0.001838,2.328562
time today,3.000000,0.000218,0.001838,2.764726
time ive,3.000000,0.000218,0.001838,2.750440
time oh,4.000000,0.000291,0.002368,3.286402
time lets,3.000000,0.000218,0.001838,3.007852
time good,5.000000,0.000363,0.002878,2.780680
time real,3.000000,0.000218,0.001838,3.268383
time come,3.000000,0.000218,0.001838,3.114232
time actually,3.000000,0.000218,0.001838,3.673848
time nyc,3.000000,0.000218,0.001838,2.328562
time america,3.000000,0.000218,0.001838,4.298003
time eat,3.000000,0.000218,0.001838,4.035638
time dinner,3.000000,0.000218,0.001838,4.366995
time meet,3.000000,0.000218,0.001838,4.808828
time break,3.000000,0.000218,0.001838,4.366995
time square,3.000000,0.000218,0.001838,3.849052
time britney,3.000000,0.000218,0.001838,6.089762
time clap,3.000000,0.000218,0.001838,5.619758
day ny,3.000000,0.000218,0.001838,2.522853
day time,3.000000,0.000218,0.001838,2.385994
day watching,3.000000,0.000218,0.001838,3.719446
day love,3.000000,0.000218,0.001838,2.307742
day white,3.000000,0.000218,0.001838,3.719446
day just,3.000000,0.000218,0.001838,1.582846
day people,3.000000,0.000218,0.001838,2.568316
day today,6.000000,0.000436,0.003374,3.697627
day ive,3.000000,0.000218,0.001838,2.990194
day nyc,7.000000,0.000509,0.003858,3.415613
day brooklyn,3.000000,0.000218,0.001838,3.102672
day ill,3.000000,0.000218,0.001838,3.634888
day nycomiccon,3.000000,0.000218,0.001838,5.299896
day tweets,3.000000,0.000218,0.001838,5.105740
halloween party,4.000000,0.000291,0.002368,6.886979
long way,5.000000,0.000363,0.002878,4.721300
long time,12.000000,0.000872,0.006144,4.926611
long day,4.000000,0.000291,0.002368,4.067753
leaves celebrate,3.000000,0.000218,0.001838,7.953842
leaves little,3.000000,0.000218,0.001838,6.701079
got like,8.000000,0.000581,0.004332,2.708352
got jokes,3.000000,0.000218,0.001838,5.398943
got know,3.000000,0.000218,0.001838,2.504307
got just,3.000000,0.000218,0.001838,1.607785
got going,3.000000,0.000218,0.001838,2.953257
got people,3.000000,0.000218,0.001838,2.593254
got heart,3.000000,0.000218,0.001838,4.326306
got night,3.000000,0.000218,0.001838,3.159871
got problem,3.000000,0.000218,0.001838,4.562695
got good,3.000000,0.000218,0.001838,2.534547
got lucky,3.000000,0.000218,0.001838,5.884451
gym rat,3.000000,0.000218,0.001838,9.093276
thought going,3.000000,0.000218,0.001838,4.114390
thought better,3.000000,0.000218,0.001838,4.509905
seeing tonight,3.000000,0.000218,0.001838,5.130679
topnotchadult club,3.000000,0.000218,0.001838,9.209108
topnotchadult dating,3.000000,0.000218,0.001838,9.755652
dating club,3.000000,0.000218,0.001838,7.909825
watching just,3.000000,0.000218,0.001838,2.676544
watching right,3.000000,0.000218,0.001838,4.022017
watching game,4.000000,0.000291,0.002368,4.452799
watching big,3.000000,0.000218,0.001838,4.544015
watching mouth,3.000000,0.000218,0.001838,6.088213
watching yankees,3.000000,0.000218,0.001838,3.926706
cuz gonna,3.000000,0.000218,0.001838,5.722753
need like,4.000000,0.000291,0.002368,2.127322
need eyecatching,9.000000,0.000654,0.004796,6.977398
need brand,9.000000,0.000654,0.004796,6.466572
need identity,9.000000,0.000654,0.004796,6.689715
need stop,6.000000,0.000436,0.003374,4.465092
need know,3.000000,0.000218,0.001838,2.616424
need just,4.000000,0.000291,0.002368,2.007584
need work,3.000000,0.000218,0.001838,3.255728
need step,3.000000,0.000218,0.001838,5.436952
need help,3.000000,0.000218,0.001838,3.965136
need good,4.000000,0.000291,0.002368,2.934346
need times,3.000000,0.000218,0.001838,4.124766
need act,3.000000,0.000218,0.001838,4.857134
need asap,5.000000,0.000363,0.002878,6.284250
eyecatching brand,9.000000,0.000654,0.004796,9.445497
eyecatching identity,9.000000,0.000654,0.004796,9.668641
eyecatching logo,9.000000,0.000654,0.004796,9.668641
brand identity,9.000000,0.000654,0.004796,9.157815
brand logo,9.000000,0.000654,0.004796,9.157815
brand design,9.000000,0.000654,0.004796,8.507227
identity logo,9.000000,0.000654,0.004796,9.380959
identity design,9.000000,0.000654,0.004796,8.730371
identity businesscheck,7.000000,0.000509,0.003858,9.668641
