Number of pairs,13758.000000
Number of unique pairs,2483
Average pair frequency,5.540878
Pair entropy,7.402765

Pair,Frequency,Proportion,Entropy Term,Mutual Information
logo design,9.000000,0.000654,0.004796,8.730371
logo businesscheck,7.000000,0.000509,0.003858,9.668641
design businesscheck,7.000000,0.000509,0.003858,9.018053
job ny,5.000000,0.000363,0.002878,3.814285
job opening,10.000000,0.000727,0.005253,6.368185
job cleared,3.000000,0.000218,0.001838,3.814285
job fit,11.000000,0.000800,0.005702,6.974321
job legal,3.000000,0.000218,0.001838,5.423723
job great,13.000000,0.000945,0.006581,5.209163
job click,7.000000,0.000509,0.003858,6.199562
job apply,7.000000,0.000509,0.003858,6.571126
job inhouse,7.000000,0.000509,0.003858,6.927801
job jobs,6.000000,0.000436,0.003374,6.193831
job varioususcities,5.000000,0.000363,0.002878,6.665436
job soul,3.000000,0.000218,0.001838,6.154611
security guard,3.000000,0.000218,0.001838,9.563280
stop looking,4.000000,0.000291,0.002368,4.973097
stop black,3.000000,0.000218,0.001838,4.728587
stop acting,3.000000,0.000218,0.001838,6.868653
looking ny,5.000000,0.000363,0.002878,4.084205
looking like,6.000000,0.000436,0.003374,3.446257
looking check,7.000000,0.000509,0.003858,5.725904
looking work,11.000000,0.000800,0.005702,5.468481
looking place,3.000000,0.000218,0.001838,5.205290
looking good,5.000000,0.000363,0.002878,4.070960
looking crazy,3.000000,0.000218,0.001838,5.405961
looking forward,4.000000,0.000291,0.002368,7.079937
looking varioususcities,3.000000,0.000218,0.001838,6.424530
know think,3.000000,0.000218,0.001838,2.858100
know like,9.000000,0.000654,0.004796,2.654817
know did,3.000000,0.000218,0.001838,2.850932
know shit,3.000000,0.000218,0.001838,2.865320
know time,4.000000,0.000291,0.002368,2.527297
know got,4.000000,0.000291,0.002368,2.791989
know u,5.000000,0.000363,0.002878,3.240805
know want,4.000000,0.000291,0.002368,3.043303
know say,6.000000,0.000436,0.003374,3.715037
know youre,4.000000,0.000291,0.002368,3.236069
know just,6.000000,0.000436,0.003374,2.129614
know id,3.000000,0.000218,0.001838,4.103695
know work,4.000000,0.000291,0.002368,3.259975
know feel,3.000000,0.000218,0.001838,3.292764
know going,4.000000,0.000291,0.002368,3.069621
know people,6.000000,0.000436,0.003374,3.115083
know does,3.000000,0.000218,0.001838,3.475086
know right,4.000000,0.000291,0.002368,3.069621
know lol,3.000000,0.000218,0.001838,2.858100
know shes,3.000000,0.000218,0.001838,3.803590
know really,3.000000,0.000218,0.001838,2.674580
know damn,3.000000,0.000218,0.001838,3.649439
know hate,3.000000,0.000218,0.001838,3.665440
know best,4.000000,0.000291,0.002368,3.416817
know gonna,3.000000,0.000218,0.001838,3.207607
know yall,4.000000,0.000291,0.002368,3.762768
know hes,3.000000,0.000218,0.001838,3.249279
know whats,3.000000,0.000218,0.001838,3.157845
rainy day,6.000000,0.000436,0.003374,6.067151
u time,4.000000,0.000291,0.002368,2.924287
u know,9.000000,0.000654,0.004796,3.828591
u just,8.000000,0.000581,0.004332,2.814286
u work,4.000000,0.000291,0.002368,3.656965
u feel,3.000000,0.000218,0.001838,3.689755
u realdonaldtrump,3.000000,0.000218,0.001838,3.306763
u help,4.000000,0.000291,0.002368,4.366373
u great,4.000000,0.000291,0.002368,3.500513
u ur,5.000000,0.000363,0.002878,5.234654
u look,3.000000,0.000218,0.001838,3.574444
u man,3.000000,0.000218,0.001838,3.667776
u r,7.000000,0.000509,0.003858,5.540355
love like,4.000000,0.000291,0.002368,1.672260
love shit,3.000000,0.000218,0.001838,2.693694
love day,4.000000,0.000291,0.002368,2.595424
love u,7.000000,0.000509,0.003858,3.405651
love having,5.000000,0.000363,0.002878,4.239953
love youre,4.000000,0.000291,0.002368,3.064443
love city,5.000000,0.000363,0.002878,3.801040
love just,7.000000,0.000509,0.003858,2.112138
love heart,4.000000,0.000291,0.002368,4.271044
love life,6.000000,0.000436,0.003374,3.604565
love lol,3.000000,0.000218,0.001838,2.686474
love thank,4.000000,0.000291,0.002368,3.217282
love good,4.000000,0.000291,0.002368,2.479284
love nyc,6.000000,0.000436,0.003374,2.943457
love baby,4.000000,0.000291,0.002368,4.079988
love support,3.000000,0.000218,0.001838,4.186961
love guys,3.000000,0.000218,0.001838,3.708925
love yankees,3.000000,0.000218,0.001838,2.515002
love indigenouspeoplesday,3.000000,0.000218,0.001838,4.912898
love high,3.000000,0.000218,0.001838,4.037429
having fun,3.000000,0.000218,0.001838,5.126233
makes happy,3.000000,0.000218,0.001838,4.399066
makes sense,5.000000,0.000363,0.002878,7.084643
makes pass,4.000000,0.000291,0.002368,6.736336
makes stomach,3.000000,0.000218,0.001838,7.335957
makes glasses,3.000000,0.000218,0.001838,7.202426
want trump,3.000000,0.000218,0.001838,3.419416
want need,3.000000,0.000218,0.001838,3.039057
want say,3.000000,0.000218,0.001838,3.444522
want work,15.000000,0.001090,0.007437,5.004363
want people,4.000000,0.000291,0.002368,3.132251
want make,3.000000,0.000218,0.001838,3.378925
want good,3.000000,0.000218,0.001838,2.785861
want date,3.000000,0.000218,0.001838,5.270768
want eat,5.000000,0.000363,0.002878,5.062471
want yankees,3.000000,0.000218,0.001838,3.109261
want view,3.000000,0.000218,0.001838,5.270768
say like,4.000000,0.000291,0.002368,2.532787
say love,5.000000,0.000363,0.002878,3.361089
say want,3.000000,0.000218,0.001838,3.444522
say youre,4.000000,0.000291,0.002368,3.924970
say just,3.000000,0.000218,0.001838,2.125367
say didnt,4.000000,0.000291,0.002368,4.291820
say hes,4.000000,0.000291,0.002368,4.225862
say little,3.000000,0.000218,0.001838,4.232980
fuck like,5.000000,0.000363,0.002878,3.132166
check job,10.000000,0.000727,0.005253,5.812659
check kids,3.000000,0.000218,0.001838,5.740088
check collection,3.000000,0.000218,0.001838,6.838701
playing game,3.000000,0.000218,0.001838,4.646955
ray j,3.000000,0.000218,0.001838,8.752350
okay just,5.000000,0.000363,0.002878,4.188002
white men,4.000000,0.000291,0.002368,5.606762
white people,5.000000,0.000363,0.002878,4.172839
white house,8.000000,0.000581,0.004332,6.184840
white trash,3.000000,0.000218,0.001838,6.199438
men mental,3.000000,0.000218,0.001838,7.341363
se en,3.000000,0.000218,0.001838,5.420145
se las,3.000000,0.000218,0.001838,7.211905
youre ny,3.000000,0.000218,0.001838,2.991872
youre like,4.000000,0.000291,0.002368,2.459285
youre welcome,4.000000,0.000291,0.002368,6.056597
youre looking,10.000000,0.000727,0.005253,5.349265
youre work,11.000000,0.000800,0.005702,4.886974
youre going,4.000000,0.000291,0.002368,3.685019
youre right,8.000000,0.000581,0.004332,4.378166
youre great,4.000000,0.000291,0.002368,3.718921
youre gonna,5.000000,0.000363,0.002878,4.333831
youre doing,6.000000,0.000436,0.003374,4.852624
youre mean,3.000000,0.000218,0.001838,4.646772
youre nyc,3.000000,0.000218,0.001838,3.037334
youre varioususcities,3.000000,0.000218,0.001838,5.843023
literally love,3.000000,0.000218,0.001838,3.957386
link bio,9.000000,0.000654,0.004796,8.912693
fucking way,3.000000,0.000218,0.001838,4.078898
fucking love,3.000000,0.000218,0.001838,3.330488
fucking just,4.000000,0.000291,0.002368,2.893274
fucking yes,3.000000,0.000218,0.001838,4.429101
fucking dead,3.000000,0.000218,0.001838,5.465193
fucking god,3.000000,0.000218,0.001838,4.671241
fucking yankees,3.000000,0.000218,0.001838,3.855755
fucking moron,8.000000,0.000581,0.004332,7.169941
shitty life,3.000000,0.000218,0.001838,6.057723
city lights,4.000000,0.000291,0.002368,7.417349
city nyc,3.000000,0.000218,0.001838,3.550788
city jersey,6.000000,0.000436,0.003374,5.337907
en ny,3.000000,0.000218,0.001838,3.405242
en manhattan,5.000000,0.000363,0.002878,4.747201
en el,8.000000,0.000581,0.004332,5.831880
en la,11.000000,0.000800,0.005702,5.411096
en times,3.000000,0.000218,0.001838,4.870099
en y,5.000000,0.000363,0.002878,5.001435
en square,3.000000,0.000218,0.001838,4.971195
just way,5.000000,0.000363,0.002878,2.524076
just think,3.000000,0.000218,0.001838,1.961578
just tweet,3.000000,0.000218,0.001838,3.111862
just like,22.000000,0.001599,0.010295,2.652112
just did,6.000000,0.000436,0.003374,2.647557
just shit,6.000000,0.000436,0.003374,2.661945
just weekend,3.000000,0.000218,0.001838,2.870700
just w,4.000000,0.000291,0.002368,2.549005
just time,10.000000,0.000727,0.005253,2.547065
just day,3.000000,0.000218,0.001838,1.582846
just long,3.000000,0.000218,0.001838,2.737169
just got,14.000000,0.001018,0.007012,3.148230
just thought,4.000000,0.000291,0.002368,3.056600
just need,4.000000,0.000291,0.002368,2.007584
just looking,4.000000,0.000291,0.002368,2.921054
just know,7.000000,0.000509,0.003858,2.283764
just love,3.000000,0.000218,0.001838,1.264840
just want,15.000000,0.001090,0.007437,3.468537
just say,7.000000,0.000509,0.003858,2.972665
just fuck,3.000000,0.000218,0.001838,2.501603
just check,3.000000,0.000218,0.001838,2.785178
just posted,70.000000,0.005088,0.026869,5.741870
just photo,61.000000,0.004434,0.024024,5.343965
just star,3.000000,0.000218,0.001838,3.258466
just week,3.000000,0.000218,0.001838,2.578564
just happy,3.000000,0.000218,0.001838,2.013250
just work,9.000000,0.000654,0.004796,3.174383
just video,9.000000,0.000654,0.004796,3.690599
just feel,6.000000,0.000436,0.003374,3.089389
just going,7.000000,0.000509,0.003858,2.732714
just head,5.000000,0.000363,0.002878,3.743316
just people,7.000000,0.000509,0.003858,2.372712
just ive,4.000000,0.000291,0.002368,2.234974
just leave,3.000000,0.000218,0.001838,3.462065
just wanna,10.000000,0.000727,0.005253,4.092691
just thing,4.000000,0.000291,0.002368,2.764893
just right,3.000000,0.000218,0.001838,1.885417
just waiting,3.000000,0.000218,0.001838,3.430316
just hell,3.000000,0.000218,0.001838,3.024851
just n,3.000000,0.000218,0.001838,3.430316
just women,3.000000,0.000218,0.001838,3.004232
just lol,4.000000,0.000291,0.002368,2.249260
just past,4.000000,0.000291,0.002368,3.887897
just saying,7.000000,0.000509,0.003858,3.914708
just water,3.000000,0.000218,0.001838,3.563847
just thank,5.000000,0.000363,0.002878,2.715530
just mad,3.000000,0.000218,0.001838,3.399544
just night,5.000000,0.000363,0.002878,2.602856
just start,3.000000,0.000218,0.001838,2.785178
just read,4.000000,0.000291,0.002368,3.312533
just make,6.000000,0.000436,0.003374,2.752917
just gonna,4.000000,0.000291,0.002368,2.598766
just said,7.000000,0.000509,0.003858,3.452890
just good,5.000000,0.000363,0.002878,1.977532
just live,3.000000,0.000218,0.001838,2.721665
just nah,3.000000,0.000218,0.001838,3.805009
just big,4.000000,0.000291,0.002368,2.695098
just away,4.000000,0.000291,0.002368,3.333586
just look,3.000000,0.000218,0.001838,2.280931
just come,3.000000,0.000218,0.001838,2.311084
just fun,3.000000,0.000218,0.001838,2.661945
just actually,3.000000,0.000218,0.001838,2.870700
just american,3.000000,0.000218,0.001838,3.045904
just america,3.000000,0.000218,0.001838,3.494854
just lmao,3.000000,0.000218,0.001838,2.737169
just thinking,3.000000,0.000218,0.001838,3.637955
just finally,4.000000,0.000291,0.002368,3.271711
just mind,5.000000,0.000363,0.002878,4.148781
just walk,3.000000,0.000218,0.001838,3.900320
just eat,5.000000,0.000363,0.002878,3.743316
just end,4.000000,0.000291,0.002368,3.816438
just san,3.000000,0.000218,0.001838,5.286614
just gotta,3.000000,0.000218,0.001838,3.285134
just asked,4.000000,0.000291,0.002368,4.092691
just episode,4.000000,0.000291,0.002368,3.782537
just better,5.000000,0.000363,0.002878,2.791757
just girl,3.000000,0.000218,0.001838,2.721665
just finished,4.000000,0.000291,0.002368,4.698827
just trying,3.000000,0.000218,0.001838,2.835609
just let,3.000000,0.000218,0.001838,2.801707
just spent,4.000000,0.000291,0.002368,4.475684
just nice,3.000000,0.000218,0.001838,2.888719
just minutes,3.000000,0.000218,0.001838,4.005680
just gave,3.000000,0.000218,0.001838,3.717998
just case,4.000000,0.000291,0.002368,4.293362
just remember,3.000000,0.000218,0.001838,3.182480
just saw,7.000000,0.000509,0.003858,4.079788
just hard,3.000000,0.000218,0.001838,2.944808
just williamsburg,4.000000,0.000291,0.002368,4.139212
just understand,4.000000,0.000291,0.002368,3.887897
just racist,3.000000,0.000218,0.001838,3.563847
just heard,3.000000,0.000218,0.001838,3.494854
just watched,6.000000,0.000436,0.003374,4.644760
just washington,3.000000,0.000218,0.001838,4.411145
just realized,5.000000,0.000363,0.002878,5.327436
just sit,3.000000,0.000218,0.001838,4.331103
just pappardella,3.000000,0.000218,0.001838,5.797440
posted photo,61.000000,0.004434,0.024024,7.396008
posted video,10.000000,0.000727,0.005253,5.848002
posted village,3.000000,0.000218,0.001838,6.114881
posted museum,4.000000,0.000291,0.002368,6.240044
posted american,3.000000,0.000218,0.001838,5.097947
posted san,3.000000,0.000218,0.001838,7.338657
posted williamsburg,4.000000,0.000291,0.002368,6.191254
posted remo,3.000000,0.000218,0.001838,7.849482
posted washington,3.000000,0.000218,0.001838,6.463188
posted heights,3.000000,0.000218,0.001838,7.002184
posted pappardella,3.000000,0.000218,0.001838,7.849482
photo manhattan,6.000000,0.000436,0.003374,4.795991
photo avenue,3.000000,0.000218,0.001838,3.456703
photo village,3.000000,0.000218,0.001838,5.854598
photo museum,4.000000,0.000291,0.002368,5.979761
photo american,3.000000,0.000218,0.001838,4.837664
photo jersey,4.000000,0.000291,0.002368,4.698827
photo san,3.000000,0.000218,0.001838,7.078373
photo natural,3.000000,0.000218,0.001838,6.122862
photo remo,3.000000,0.000218,0.001838,7.589199
photo pappardella,3.000000,0.000218,0.001838,7.589199
chelsea manhattan,6.000000,0.000436,0.003374,7.280898
manhattan ny,5.000000,0.000363,0.002878,3.761917
manhattan incident,9.000000,0.000654,0.004796,4.385907
manhattan updated,7.000000,0.000509,0.003858,4.939779
manhattan nyc,10.000000,0.000727,0.005253,4.500527
manhattan brooklyn,8.000000,0.000581,0.004332,4.811739
manhattan events,5.000000,0.000363,0.002878,7.098576
manhattan center,5.000000,0.000363,0.002878,5.845813
id like,3.000000,0.000218,0.001838,3.326910
id love,7.000000,0.000509,0.003858,4.779366
watch time,3.000000,0.000218,0.001838,3.177411
watch video,3.000000,0.000218,0.001838,4.426306
watch game,3.000000,0.000218,0.001838,3.862836
watch night,3.000000,0.000218,0.001838,3.926350
watch espn,3.000000,0.000218,0.001838,4.241735
watch episode,3.000000,0.000218,0.001838,5.329174
watch football,4.000000,0.000291,0.002368,6.184840
north w,4.000000,0.000291,0.002368,5.321594
north cleared,4.000000,0.000291,0.002368,5.051048
north incident,4.000000,0.000291,0.002368,4.576425
north street,15.000000,0.001090,0.007437,5.839999
north st,4.000000,0.000291,0.002368,6.292761
north rd,4.000000,0.000291,0.002368,7.011884
north korea,4.000000,0.000291,0.002368,8.164563
north truck,4.000000,0.000291,0.002368,7.558427
star wars,16.000000,0.001163,0.007858,8.292818
star trailer,7.000000,0.000509,0.003858,7.628658
thecwsupergirl supergirl,24.000000,0.001744,0.011079,7.679055
thecwsupergirl supergirlstaff,20.000000,0.001454,0.009498,8.489986
week just,4.000000,0.000291,0.002368,2.866246
happy day,14.000000,0.001018,0.007012,4.596597
happy love,4.000000,0.000291,0.002368,3.025828
happy just,4.000000,0.000291,0.002368,2.300932
happy week,3.000000,0.000218,0.001838,4.051869
happy birthday,40.000000,0.002907,0.016981,6.769970
happy bro,4.000000,0.000291,0.002368,5.565997
happy hope,5.000000,0.000363,0.002878,4.576118
happy hour,4.000000,0.000291,0.002368,5.612517
happy amazing,4.000000,0.000291,0.002368,4.366580
happy monday,3.000000,0.000218,0.001838,4.344006
happy john,4.000000,0.000291,0.002368,5.712601
happy thanksgiving,8.000000,0.000581,0.004332,6.952292
happy indigenous,6.000000,0.000436,0.003374,6.172133
happy peoples,3.000000,0.000218,0.001838,5.971462
