Number of words,53982
Number of unique words,4428
Average word frequency,12.191057
Entropy,7.626037

Word,Frequency,Proportion,Entropy Term
love,264,0.004891,0.026020
center,42,0.000778,0.005570
alive,7,0.000130,0.001161
youre,142,0.002631,0.015627
hyped,3,0.000056,0.000545
game,65,0.001204,0.008094
laughing,5,0.000093,0.000860
aint,39,0.000722,0.005225
tell,68,0.001260,0.008411
joke,10,0.000185,0.001592
son,20,0.000370,0.002927
facts,12,0.000222,0.001870
listen,34,0.000630,0.004642
vibe,6,0.000111,0.001012
presssec,5,0.000093,0.000860
realdonaldtrump,252,0.004668,0.025054
word,21,0.000389,0.003055
looking,81,0.001501,0.009756
actually,60,0.001111,0.007560
wind,14,0.000259,0.002142
mph,14,0.000259,0.002142
barometer,11,0.000204,0.001732
rising,14,0.000259,0.002142
slowly,12,0.000222,0.001870
temperature,11,0.000204,0.001732
f,25,0.000463,0.003556
rain,18,0.000333,0.002670
today,222,0.004112,0.022593
humidity,16,0.000296,0.002408
solo,7,0.000130,0.001161
el,88,0.001630,0.010464
martes,5,0.000093,0.000860
y,90,0.001667,0.010665
left,52,0.000963,0.006690
day,264,0.004891,0.026020
attention,14,0.000259,0.002142
right,133,0.002464,0.014798
week,84,0.001556,0.010061
weeks,21,0.000389,0.003055
way,131,0.002427,0.014612
short,15,0.000278,0.002275
whats,40,0.000741,0.005341
mean,42,0.000778,0.005570
l,23,0.000426,0.003307
es,41,0.000760,0.005455
d,30,0.000556,0.004165
suit,5,0.000093,0.000860
kylo,4,0.000074,0.000705
build,12,0.000222,0.001870
legacy,3,0.000056,0.000545
w,97,0.001797,0.011359
heavy,10,0.000185,0.001592
just,485,0.008984,0.042337
felt,11,0.000204,0.001732
like,428,0.007929,0.038353
washed,4,0.000074,0.000705
datosencuestas,3,0.000056,0.000545
todas,5,0.000093,0.000860
las,25,0.000463,0.003556
desde,6,0.000111,0.001012
t,34,0.000630,0.004642
wanting,7,0.000130,0.001161
watch,54,0.001000,0.006910
scary,11,0.000204,0.001732
movies,14,0.000259,0.002142
home,54,0.001000,0.006910
hour,18,0.000333,0.002670
people,249,0.004613,0.024811
tend,3,0.000056,0.000545
forget,24,0.000445,0.003432
original,9,0.000167,0.001450
turned,14,0.000259,0.002142
away,43,0.000797,0.005684
character,12,0.000222,0.001870
ms,24,0.000445,0.003432
wouldnt,16,0.000296,0.002408
post,40,0.000741,0.005341
obviously,10,0.000185,0.001592
biased,3,0.000056,0.000545
sf,4,0.000074,0.000705
desert,3,0.000056,0.000545
gonna,73,0.001352,0.008933
long,38,0.000704,0.005110
season,31,0.000574,0.004285
sweet,29,0.000537,0.004045
angel,9,0.000167,0.001450
esta,11,0.000204,0.001732
bien,3,0.000056,0.000545
que,123,0.002279,0.013863
fan,22,0.000408,0.003181
la,113,0.002093,0.012914
pero,19,0.000352,0.002799
lo,61,0.001130,0.007668
accurate,5,0.000093,0.000860
hope,50,0.000926,0.006469
truly,29,0.000537,0.004045
baby,36,0.000667,0.004877
great,227,0.004205,0.023008
hes,72,0.001334,0.008829
perfect,28,0.000519,0.003923
asshole,12,0.000222,0.001870
think,152,0.002816,0.016536
album,27,0.000500,0.003802
major,10,0.000185,0.001592
tonight,78,0.001445,0.009449
yo,49,0.000908,0.006358
quiero,8,0.000148,0.001307
hombre,6,0.000111,0.001012
donde,5,0.000093,0.000860
