Number of pairs,23936.000000
Number of unique pairs,3783
Average pair frequency,6.327254
Pair entropy,7.842861

Pair,Frequency,Proportion,Entropy Term,Mutual Information
love looking,3.000000,0.000125,0.001126,2.837887
love just,6.000000,0.000251,0.002078,1.741334
love like,4.000000,0.000167,0.001453,1.460895
love perfect,3.000000,0.000125,0.001126,3.900132
love u,3.000000,0.000125,0.001126,2.388149
love got,3.000000,0.000125,0.001126,2.341987
love make,3.000000,0.000125,0.001126,2.221701
love time,3.000000,0.000125,0.001126,1.781298
love night,3.000000,0.000125,0.001126,2.597607
love going,3.000000,0.000125,0.001126,2.201898
love video,3.000000,0.000125,0.001126,3.471136
love women,3.000000,0.000125,0.001126,2.801519
love fuck,3.000000,0.000125,0.001126,2.901603
love twitter,3.000000,0.000125,0.001126,3.225003
love music,3.000000,0.000125,0.001126,3.189285
love know,3.000000,0.000125,0.001126,1.751697
love let,3.000000,0.000125,0.001126,2.955670
love good,4.000000,0.000167,0.001453,1.796433
love man,5.000000,0.000209,0.001770,2.801519
love sleep,4.000000,0.000167,0.001453,3.137992
love song,3.000000,0.000125,0.001126,3.735829
love friends,3.000000,0.000125,0.001126,3.057949
love weve,3.000000,0.000125,0.001126,4.593279
love essential,3.000000,0.000125,0.001126,3.676988
love oils,3.000000,0.000125,0.001126,3.831139
center ny,7.000000,0.000292,0.002380,4.020760
center nyc,3.000000,0.000125,0.001126,3.834174
center jackson,3.000000,0.000125,0.001126,6.768031
center construction,3.000000,0.000125,0.001126,3.594152
center station,7.000000,0.000292,0.002380,4.913967
center india,3.000000,0.000125,0.001126,6.991174
center updated,3.000000,0.000125,0.001126,4.187814
center htsroosevelt,3.000000,0.000125,0.001126,7.972003
youre looking,27.000000,0.001128,0.007656,5.655234
youre actually,4.000000,0.000167,0.001453,4.045796
youre right,3.000000,0.000125,0.001126,2.962109
youre just,5.000000,0.000209,0.001770,2.179135
youre work,25.000000,0.001044,0.007169,4.561076
youre funny,3.000000,0.000125,0.001126,4.520254
youre ny,20.000000,0.000836,0.005922,3.852424
youre going,4.000000,0.000167,0.001453,3.109702
youre trying,3.000000,0.000125,0.001126,3.792015
youre fucking,6.000000,0.000251,0.002078,4.201800
youre doing,4.000000,0.000167,0.001453,4.268939
youre wrong,3.000000,0.000125,0.001126,4.386722
youre welcome,4.000000,0.000167,0.001453,5.004646
game day,3.000000,0.000125,0.001126,3.057949
aint right,3.000000,0.000125,0.001126,4.254375
aint shit,3.000000,0.000125,0.001126,4.261922
aint ppl,6.000000,0.000251,0.002078,6.009229
aint nigga,3.000000,0.000125,0.001126,5.886627
tell mean,3.000000,0.000125,0.001126,4.851108
tell like,7.000000,0.000292,0.002380,3.376952
tell people,3.000000,0.000125,0.001126,3.071325
tell u,3.000000,0.000125,0.001126,3.744590
tell look,3.000000,0.000125,0.001126,4.100141
tell looki,3.000000,0.000125,0.001126,7.490165
listen yall,3.000000,0.000125,0.001126,4.782115
listen morning,3.000000,0.000125,0.001126,3.797128
presssec realdonaldtrump,4.000000,0.000167,0.001453,5.957100
realdonaldtrump youre,8.000000,0.000334,0.002675,3.303858
realdonaldtrump just,5.000000,0.000209,0.001770,1.605533
realdonaldtrump people,10.000000,0.000418,0.003251,2.965376
realdonaldtrump great,3.000000,0.000125,0.001126,1.853906
realdonaldtrump u,3.000000,0.000125,0.001126,2.434669
realdonaldtrump isnt,4.000000,0.000167,0.001453,3.737897
realdonaldtrump stupid,3.000000,0.000125,0.001126,3.782349
realdonaldtrump real,3.000000,0.000125,0.001126,3.044750
realdonaldtrump trump,6.000000,0.000251,0.002078,3.002190
realdonaldtrump really,3.000000,0.000125,0.001126,2.241904
realdonaldtrump white,4.000000,0.000167,0.001453,3.197090
realdonaldtrump oh,3.000000,0.000125,0.001126,3.184512
realdonaldtrump know,6.000000,0.000251,0.002078,2.491364
realdonaldtrump job,3.000000,0.000125,0.001126,1.765427
realdonaldtrump good,5.000000,0.000209,0.001770,2.066097
realdonaldtrump talk,3.000000,0.000125,0.001126,2.988397
realdonaldtrump fucking,10.000000,0.000418,0.003251,4.139024
realdonaldtrump meet,6.000000,0.000251,0.002078,4.880961
realdonaldtrump bad,4.000000,0.000167,0.001453,3.235805
realdonaldtrump president,5.000000,0.000209,0.001770,3.746631
realdonaldtrump nytimes,17.000000,0.000710,0.005149,5.646161
realdonaldtrump took,3.000000,0.000125,0.001126,4.100802
realdonaldtrump vp,20.000000,0.000836,0.005922,5.487097
realdonaldtrump hey,3.000000,0.000125,0.001126,3.327612
realdonaldtrump nfl,3.000000,0.000125,0.001126,3.541187
realdonaldtrump care,5.000000,0.000209,0.001770,3.857856
realdonaldtrump did,3.000000,0.000125,0.001126,2.542658
realdonaldtrump country,4.000000,0.000167,0.001453,3.877659
realdonaldtrump iran,7.000000,0.000292,0.002380,5.823569
realdonaldtrump wrong,3.000000,0.000125,0.001126,3.813120
realdonaldtrump obama,3.000000,0.000125,0.001126,4.388484
realdonaldtrump mic,7.000000,0.000292,0.002380,5.418104
realdonaldtrump stfu,3.000000,0.000125,0.001126,4.976271
realdonaldtrump tax,3.000000,0.000125,0.001126,3.911560
realdonaldtrump moron,9.000000,0.000376,0.002965,4.880961
realdonaldtrump amendment,3.000000,0.000125,0.001126,5.332946
realdonaldtrump test,4.000000,0.000167,0.001453,4.733325
realdonaldtrump democrats,3.000000,0.000125,0.001126,5.332946
realdonaldtrump iq,5.000000,0.000209,0.001770,4.457477
realdonaldtrump maxboot,3.000000,0.000125,0.001126,5.892562
looking like,4.000000,0.000167,0.001453,2.642395
looking work,25.000000,0.001044,0.007169,5.122454
looking ny,23.000000,0.000961,0.006676,4.553564
looking good,3.000000,0.000125,0.001126,2.690251
looking forward,11.000000,0.000460,0.003532,6.940530
looking sexy,3.000000,0.000125,0.001126,6.111251
looking check,19.000000,0.000794,0.005667,5.805316
looking developer,3.000000,0.000125,0.001126,7.027542
actually think,3.000000,0.000125,0.001126,3.690060
