Number of words,51720
Number of unique words,4265
Average word frequency,12.126612
Entropy,7.612985

Word,Frequency,Proportion,Entropy Term
finally,60,0.001160,0.007841
piece,27,0.000522,0.003945
home,79,0.001527,0.009904
office,23,0.000445,0.003432
does,74,0.001431,0.009371
feel,101,0.001953,0.012183
like,529,0.010228,0.046872
run,45,0.000870,0.006131
game,203,0.003925,0.021746
gas,10,0.000193,0.001653
station,64,0.001237,0.008284
problem,22,0.000425,0.003302
mist,5,0.000097,0.000894
gt,21,0.000406,0.003171
light,27,0.000522,0.003945
playing,73,0.001411,0.009264
soon,40,0.000773,0.005541
nice,60,0.001160,0.007841
play,66,0.001276,0.008504
castro,3,0.000058,0.000566
congratulations,13,0.000251,0.002083
students,6,0.000116,0.001051
man,109,0.002108,0.012987
way,118,0.002282,0.013878
right,163,0.003152,0.018153
ive,125,0.002417,0.014562
trying,60,0.001160,0.007841
write,16,0.000309,0.002500
pay,26,0.000503,0.003818
online,3,0.000058,0.000566
zero,9,0.000174,0.001506
response,6,0.000116,0.001051
help,45,0.000870,0.006131
day,183,0.003538,0.019970
drop,21,0.000406,0.003171
follow,37,0.000715,0.005181
twitch,5,0.000097,0.000894
ms,17,0.000329,0.002636
jones,26,0.000503,0.003818
love,344,0.006651,0.033342
unitedsyngg,4,0.000077,0.000732
yikes,7,0.000135,0.001206
clarices,4,0.000077,0.000732
powers,7,0.000135,0.001206
amyacker,7,0.000135,0.001206
nataliealynlind,8,0.000155,0.001357
emmadumont,13,0.000251,0.002083
thegiftedonfox,15,0.000290,0.002362
thegifted,53,0.001025,0.007054
months,20,0.000387,0.003039
die,26,0.000503,0.003818
dies,4,0.000077,0.000732
wont,45,0.000870,0.006131
days,65,0.001257,0.008394
future,22,0.000425,0.003302
past,32,0.000619,0.004571
likely,4,0.000077,0.000732
decade,4,0.000077,0.000732
risk,5,0.000097,0.000894
make,148,0.002862,0.016758
original,10,0.000193,0.001653
option,3,0.000058,0.000566
excellent,10,0.000193,0.001653
runs,20,0.000387,0.003039
rid,6,0.000116,0.001051
blogger,3,0.000058,0.000566
account,16,0.000309,0.002500
feeling,32,0.000619,0.004571
od,4,0.000077,0.000732
monday,60,0.001160,0.007841
night,148,0.002862,0.016758
knowing,6,0.000116,0.001051
damn,54,0.001044,0.007167
hours,34,0.000657,0.004817
tea,4,0.000077,0.000732
effect,5,0.000097,0.000894
bout,21,0.000406,0.003171
world,75,0.001450,0.009478
lunch,7,0.000135,0.001206
grand,13,0.000251,0.002083
central,12,0.000232,0.001942
just,616,0.011910,0.052767
short,19,0.000367,0.002906
film,19,0.000367,0.002906
dear,20,0.000387,0.003039
father,7,0.000135,0.001206
officially,16,0.000309,0.002500
lady,26,0.000503,0.003818
adding,4,0.000077,0.000732
looks,55,0.001063,0.007280
know,265,0.005124,0.027022
rhoc,9,0.000174,0.001506
spend,16,0.000309,0.002500
laying,4,0.000077,0.000732
bed,31,0.000599,0.004447
till,11,0.000213,0.001798
instead,18,0.000348,0.002771
id,46,0.000889,0.006248
birth,7,0.000135,0.001206
lost,51,0.000986,0.006825
got,213,0.004118,0.022619
wait,88,0.001701,0.010849
scott,6,0.000116,0.001051
vs,22,0.000425,0.003302
set,30,0.000580,0.004323
weekend,42,0.000812,0.005779
respect,22,0.000425,0.003302
doesnt,60,0.001160,0.007841
election,4,0.000077,0.000732
fight,32,0.000619,0.004571
wow,69,0.001334,0.008831
cmon,7,0.000135,0.001206
blink,6,0.000116,0.001051
need,151,0.002920,0.017040
better,112,0.002166,0.013286
mia,6,0.000116,0.001051
e,39,0.000754,0.005422
metropolitan,15,0.000290,0.002362
ahead,7,0.000135,0.001206
david,17,0.000329,0.002636
throw,24,0.000464,0.003562
shades,7,0.000135,0.001206
lying,10,0.000193,0.001653
eyes,25,0.000483,0.003690
jenelleevans,3,0.000058,0.000566
oh,95,0.001837,0.011571
didnt,98,0.001895,0.011878
homecoming,4,0.000077,0.000732
lol,159,0.003074,0.017784
perfect,32,0.000619,0.004571
