Number of words,51720
Number of unique words,4265
Average word frequency,12.126612
Entropy,7.612985

Word,Frequency,Proportion,Entropy Term
miss,67,0.001295,0.008613
beloved,6,0.000116,0.001051
support,27,0.000522,0.003945
nfl,42,0.000812,0.005779
players,28,0.000541,0.004072
hear,37,0.000715,0.005181
workers,5,0.000097,0.000894
mad,28,0.000541,0.004072
funny,34,0.000657,0.004817
seen,45,0.000870,0.006131
outside,24,0.000464,0.003562
work,104,0.002011,0.012486
gon,11,0.000213,0.001798
say,105,0.002030,0.012586
look,93,0.001798,0.011366
maybe,33,0.000638,0.004694
isnt,55,0.001063,0.007280
crazy,40,0.000773,0.005541
feels,28,0.000541,0.004072
wonder,22,0.000425,0.003302
sevy,12,0.000232,0.001942
pitches,8,0.000155,0.001357
comes,73,0.001411,0.009264
homeboy,10,0.000193,0.001653
gonna,115,0.002224,0.013583
contracts,3,0.000058,0.000566
goes,29,0.000561,0.004198
waiting,28,0.000541,0.004072
club,23,0.000445,0.003432
reunion,14,0.000271,0.002224
williamsburg,11,0.000213,0.001798
blade,13,0.000251,0.002083
runner,16,0.000309,0.002500
brooklyn,95,0.001837,0.011571
ny,131,0.002533,0.015143
trailer,154,0.002978,0.017319
lastjedi,5,0.000097,0.000894
watching,81,0.001566,0.010116
honestly,48,0.000928,0.006480
hollywood,21,0.000406,0.003171
liberals,8,0.000155,0.001357
pretty,63,0.001218,0.008174
fucking,107,0.002069,0.012787
awful,17,0.000329,0.002636
thanks,97,0.001875,0.011776
helping,4,0.000077,0.000732
point,40,0.000773,0.005541
positive,21,0.000406,0.003171
wtf,36,0.000696,0.005060
defense,11,0.000213,0.001798
doing,77,0.001489,0.009692
u,170,0.003287,0.018794
lives,22,0.000425,0.003302
blessed,19,0.000367,0.002906
incredible,18,0.000348,0.002771
talent,11,0.000213,0.001798
curtis,3,0.000058,0.000566
fontaine,3,0.000058,0.000566
xycurtisz,3,0.000058,0.000566
use,38,0.000735,0.005302
gif,3,0.000058,0.000566
ugh,23,0.000445,0.003432
yankee,10,0.000193,0.001653
yankees,237,0.004582,0.024679
good,243,0.004698,0.025186
killing,16,0.000309,0.002500
seafood,3,0.000058,0.000566
soul,14,0.000271,0.002224
believe,40,0.000773,0.005541
hes,87,0.001682,0.010745
gone,24,0.000464,0.003562
lookin,8,0.000155,0.001357
kinds,4,0.000077,0.000732
adorable,4,0.000077,0.000732
walter,3,0.000058,0.000566
realdonaldtrump,124,0.002398,0.014465
advice,8,0.000155,0.001357
clue,3,0.000058,0.000566
lmao,64,0.001237,0.008284
threw,4,0.000077,0.000732
flags,3,0.000058,0.000566
minute,13,0.000251,0.002083
pls,15,0.000290,0.002362
ruin,7,0.000135,0.001206
congrats,18,0.000348,0.002771
think,166,0.003210,0.018428
called,40,0.000773,0.005541
want,184,0.003558,0.020060
wash,4,0.000077,0.000732
court,5,0.000097,0.000894
records,3,0.000058,0.000566
hell,44,0.000851,0.006014
professor,7,0.000135,0.001206
making,103,0.001991,0.012385
read,50,0.000967,0.006711
rainy,10,0.000193,0.001653
ass,56,0.001083,0.007393
try,31,0.000599,0.004447
selfie,8,0.000155,0.001357
humid,6,0.000116,0.001051
af,14,0.000271,0.002224
following,15,0.000290,0.002362
nyc,165,0.003190,0.018336
music,50,0.000967,0.006711
producer,3,0.000058,0.000566
winter,13,0.000251,0.002083
rotation,34,0.000657,0.004817
whos,26,0.000503,0.003818
going,169,0.003268,0.018703
meet,28,0.000541,0.004072
people,225,0.004350,0.023655
aware,7,0.000135,0.001206
body,19,0.000367,0.002906
food,33,0.000638,0.004694
dad,19,0.000367,0.002906
says,37,0.000715,0.005181
hard,41,0.000793,0.005660
cute,31,0.000599,0.004447
v,13,0.000251,0.002083
course,20,0.000387,0.003039
art,44,0.000851,0.006014
google,15,0.000290,0.002362
doc,8,0.000155,0.001357
happen,26,0.000503,0.003818
mortreport,6,0.000116,0.001051
case,18,0.000348,0.002771
owners,6,0.000116,0.001051
nflpa,5,0.000097,0.000894
katwatersminion,6,0.000116,0.001051
fellow,4,0.000077,0.000732
wwepeytonroyce,17,0.000329,0.002636
fans,38,0.000735,0.005302
excited,45,0.000870,0.006131
shes,45,0.000870,0.006131
winning,15,0.000290,0.002362
wednesday,35,0.000677,0.004939
fall,46,0.000889,0.006248
break,19,0.000367,0.002906
black,59,0.001141,0.007730
tap,3,0.000058,0.000566
midtown,4,0.000077,0.000732
opening,19,0.000367,0.002906
random,6,0.000116,0.001051
portals,3,0.000058,0.000566
thing,100,0.001933,0.012081
sorry,29,0.000561,0.004198
send,18,0.000348,0.002771
boom,3,0.000058,0.000566
finished,14,0.000271,0.002224
solid,5,0.000097,0.000894
drinking,17,0.000329,0.002636
todo,10,0.000193,0.001653
gift,9,0.000174,0.001506
clareoc,3,0.000058,0.000566
shakedownweinstein,4,0.000077,0.000732
cuz,14,0.000271,0.002224
thought,61,0.001179,0.007953
meant,12,0.000232,0.001942
twist,3,0.000058,0.000566
hilarious,8,0.000155,0.001357
tweet,50,0.000967,0.006711
tho,47,0.000909,0.006364
uses,4,0.000077,0.000732
tattoos,4,0.000077,0.000732
hiking,6,0.000116,0.001051
grandfather,3,0.000058,0.000566
went,46,0.000889,0.006248
small,14,0.000271,0.002224
developed,3,0.000058,0.000566
week,73,0.001411,0.009264
impressed,4,0.000077,0.000732
marvel,6,0.000116,0.001051
series,41,0.000793,0.005660
broadcast,8,0.000155,0.001357
tv,33,0.000638,0.004694
aos,5,0.000097,0.000894
away,29,0.000561,0.004198
mcmythead,3,0.000058,0.000566
ladybuggedhc,3,0.000058,0.000566
jemelehill,21,0.000406,0.003171
born,10,0.000193,0.001653
raised,5,0.000097,0.000894
detroit,3,0.000058,0.000566
standwithjemele,10,0.000193,0.001653
hair,26,0.000503,0.003818
nasty,5,0.000097,0.000894
ill,84,0.001624,0.010431
leaving,11,0.000213,0.001798
sign,16,0.000309,0.002500
luck,9,0.000174,0.001506
tears,9,0.000174,0.001506
probably,35,0.000677,0.004939
did,170,0.003287,0.018794
manhattan,90,0.001740,0.011056
travel,10,0.000193,0.001653
republican,6,0.000116,0.001051
locked,5,0.000097,0.000894
returned,5,0.000097,0.000894
vp,33,0.000638,0.004694
left,52,0.001005,0.006940
took,41,0.000793,0.005660
protest,15,0.000290,0.002362
catrjb,3,0.000058,0.000566
giveaway,4,0.000077,0.000732
disney,13,0.000251,0.002083
party,33,0.000638,0.004694
tickets,47,0.000909,0.006364
winners,3,0.000058,0.000566
exactly,23,0.000445,0.003432
trubisky,11,0.000213,0.001798
lmfaooo,3,0.000058,0.000566
knicks,13,0.000251,0.002083
player,15,0.000290,0.002362
jedi,48,0.000928,0.006480
bedtime,3,0.000058,0.000566
movie,47,0.000909,0.006364
kind,21,0.000406,0.003171
scares,6,0.000116,0.001051
vikings,20,0.000387,0.003039
team,75,0.001450,0.009478
smh,15,0.000290,0.002362
postseason,11,0.000213,0.001798
cleveland,34,0.000657,0.004817
indians,40,0.000773,0.005541
literally,54,0.001044,0.007167
hits,9,0.000174,0.001506
spice,3,0.000058,0.000566
thrilled,4,0.000077,0.000732
columbus,27,0.000522,0.003945
circle,3,0.000058,0.000566
senatemajldr,4,0.000077,0.000732
senschumer,7,0.000135,0.001206
stop,66,0.001276,0.008504
flying,6,0.000116,0.001051
military,5,0.000097,0.000894
water,25,0.000483,0.003690
pr,9,0.000174,0.001506
white,70,0.001353,0.008940
folk,5,0.000097,0.000894
latest,11,0.000213,0.001798
raw,94,0.001817,0.011469
video,56,0.001083,0.007393
nycphotographer,3,0.000058,0.000566
cocaine,5,0.000097,0.000894
cheese,12,0.000232,0.001942
expensive,4,0.000077,0.000732
idc,8,0.000155,0.001357
bad,87,0.001682,0.010745
imma,8,0.000155,0.001357
drink,18,0.000348,0.002771
shot,24,0.000464,0.003562
missing,30,0.000580,0.004323
ocean,5,0.000097,0.000894
men,60,0.001160,0.007841
forget,18,0.000348,0.002771
human,13,0.000251,0.002083
fuck,130,0.002514,0.015046
gender,5,0.000097,0.000894
let,61,0.001179,0.007953
deal,20,0.000387,0.003039
emotions,6,0.000116,0.001051
pain,11,0.000213,0.001798
honored,5,0.000097,0.000894
included,4,0.000077,0.000732
list,17,0.000329,0.002636
j,7,0.000135,0.001206
time,218,0.004215,0.023052
g,7,0.000135,0.001206
link,27,0.000522,0.003945
hillaryclinton,9,0.000174,0.001506
arent,18,0.000348,0.002771
president,26,0.000503,0.003818
wrestling,6,0.000116,0.001051
vince,3,0.000058,0.000566
hates,7,0.000135,0.001206
heel,16,0.000309,0.002500
managers,3,0.000058,0.000566
enzo,13,0.000251,0.002083
theyre,48,0.000928,0.006480
using,19,0.000367,0.002906
h,7,0.000135,0.001206
dm,10,0.000193,0.001653
odell,3,0.000058,0.000566
commercial,10,0.000193,0.001653
kid,22,0.000425,0.003302
coolest,3,0.000058,0.000566
cosplay,17,0.000329,0.002636
entire,19,0.000367,0.002906
okay,42,0.000812,0.005779
gruden,8,0.000155,0.001357
idiot,6,0.000116,0.001051
arm,8,0.000155,0.001357
ok,58,0.001121,0.007618
em,31,0.000599,0.004447
life,146,0.002823,0.016570
mood,31,0.000599,0.004447
hi,38,0.000735,0.005302
chance,16,0.000309,0.002500
plz,7,0.000135,0.001206
alright,12,0.000232,0.001942
cause,33,0.000638,0.004694
fisher,8,0.000155,0.001357
dwts,12,0.000232,0.001942
stay,35,0.000677,0.004939
jc,5,0.000097,0.000894
lunes,4,0.000077,0.000732
happening,17,0.000329,0.002636
cats,7,0.000135,0.001206
broadway,25,0.000483,0.003690
theater,10,0.000193,0.001653
theres,50,0.000967,0.006711
lmaooo,10,0.000193,0.001653
shits,6,0.000116,0.001051
amc,6,0.000116,0.001051
website,25,0.000483,0.003690
proud,28,0.000541,0.004072
italian,8,0.000155,0.001357
american,37,0.000715,0.005181
largest,3,0.000058,0.000566
single,28,0.000541,0.004072
group,32,0.000619,0.004571
country,23,0.000445,0.003432
war,18,0.000348,0.002771
bring,40,0.000773,0.005541
innings,6,0.000116,0.001051
ball,25,0.000483,0.003690
starwars,79,0.001527,0.009904
thelastjedi,118,0.002282,0.013878
imagine,23,0.000445,0.003432
living,26,0.000503,0.003818
peace,20,0.000387,0.003039
johnlennon,6,0.000116,0.001051
hiring,4,0.000077,0.000732
promo,7,0.000135,0.001206
best,122,0.002359,0.014270
items,7,0.000135,0.001206
sim,3,0.000058,0.000566
level,18,0.000348,0.002771
universe,9,0.000174,0.001506
travelingmoms,5,0.000097,0.000894
return,8,0.000155,0.001357
tmom,6,0.000116,0.001051
kaanapali,6,0.000116,0.001051
amazing,85,0.001643,0.010536
chocolate,7,0.000135,0.001206
thebigchocshow,4,0.000077,0.000732
chelsea,8,0.000155,0.001357
little,47,0.000909,0.006364
family,50,0.000967,0.006711
year,81,0.001566,0.010116
kurt,3,0.000058,0.000566
angle,4,0.000077,0.000732
shield,34,0.000657,0.004817
wakeup,3,0.000058,0.000566
handsome,4,0.000077,0.000732
lake,4,0.000077,0.000732
great,141,0.002726,0.016098
story,25,0.000483,0.003690
discovery,3,0.000058,0.000566
america,30,0.000580,0.004323
selena,6,0.000116,0.001051
shit,157,0.003036,0.017598
door,9,0.000174,0.001506
hate,59,0.001141,0.007730
weak,6,0.000116,0.001051
knees,5,0.000097,0.000894
lets,76,0.001469,0.009585
yankeesvsindians,8,0.000155,0.001357
jerry,13,0.000251,0.002083
protesting,5,0.000097,0.000894
folks,15,0.000290,0.002362
boys,24,0.000464,0.003562
line,30,0.000580,0.004323
lit,19,0.000367,0.002906
tat,4,0.000077,0.000732
standard,7,0.000135,0.001206
bet,15,0.000290,0.002362
wit,18,0.000348,0.002771
hip,8,0.000155,0.001357
hop,10,0.000193,0.001653
season,51,0.000986,0.006825
tonights,10,0.000193,0.001653
emotional,11,0.000213,0.001798
vez,5,0.000097,0.000894
en,95,0.001837,0.011571
cuando,7,0.000135,0.001206
local,7,0.000135,0.001206
y,83,0.001605,0.010326
estn,3,0.000058,0.000566
todos,8,0.000155,0.001357
donde,3,0.000058,0.000566
estoy,8,0.000155,0.001357
reason,26,0.000503,0.003818
seeing,46,0.000889,0.006248
league,19,0.000367,0.002906
tbh,15,0.000290,0.002362
lmfao,25,0.000483,0.003690
political,10,0.000193,0.001653
watched,34,0.000657,0.004817
football,37,0.000715,0.005181
starting,17,0.000329,0.002636
chef,5,0.000097,0.000894
ur,48,0.000928,0.006480
realize,17,0.000329,0.002636
chicken,9,0.000174,0.001506
matt,7,0.000135,0.001206
hardy,4,0.000077,0.000732
hit,41,0.000793,0.005660
prod,7,0.000135,0.001206
keyzkilohz,3,0.000058,0.000566
streaming,14,0.000271,0.002224
services,7,0.000135,0.001206
wish,66,0.001276,0.008504
create,10,0.000193,0.001653
network,7,0.000135,0.001206
deserves,12,0.000232,0.001942
end,49,0.000947,0.006596
whats,111,0.002146,0.013186
awkward,3,0.000058,0.000566
mi,32,0.000619,0.004571
thank,101,0.001953,0.012183
visiting,5,0.000097,0.000894
come,124,0.002398,0.014465
welcome,10,0.000193,0.001653
tip,5,0.000097,0.000894
square,47,0.000909,0.006364
nah,19,0.000367,0.002906
la,103,0.001991,0.012385
es,28,0.000541,0.004072
eh,5,0.000097,0.000894
dinner,28,0.000541,0.004072
forever,19,0.000367,0.002906
mexican,5,0.000097,0.000894
foodporn,4,0.000077,0.000732
hahaha,15,0.000290,0.002362
wants,29,0.000561,0.004198
healthcare,4,0.000077,0.000732
chip,8,0.000155,0.001357
plus,10,0.000193,0.001653
minnyseminole,4,0.000077,0.000732
focus,10,0.000193,0.001653
having,62,0.001199,0.008063
tonight,124,0.002398,0.014465
double,11,0.000213,0.001798
screening,4,0.000077,0.000732
legal,20,0.000387,0.003039
ground,6,0.000116,0.001051
spin,3,0.000058,0.000566
change,27,0.000522,0.003945
thread,24,0.000464,0.003562
saw,42,0.000812,0.005779
wwe,33,0.000638,0.004694
years,70,0.001353,0.008940
killer,5,0.000097,0.000894
performance,7,0.000135,0.001206
guys,58,0.001121,0.007618
adamlambert,6,0.000116,0.001051
heard,21,0.000406,0.003171
fest,3,0.000058,0.000566
pineapple,4,0.000077,0.000732
tough,10,0.000193,0.001653
mix,6,0.000116,0.001051
watch,96,0.001856,0.011674
braunstrowman,3,0.000058,0.000566
destroy,7,0.000135,0.001206
matthardybrand,3,0.000058,0.000566
chances,5,0.000097,0.000894
wear,21,0.000406,0.003171
shirt,20,0.000387,0.003039
mentally,6,0.000116,0.001051
handle,8,0.000155,0.001357
ending,6,0.000116,0.001051
star,126,0.002436,0.014659
turning,5,0.000097,0.000894
queen,12,0.000232,0.001942
self,18,0.000348,0.002771
bang,4,0.000077,0.000732
mean,58,0.001121,0.007618
sunday,10,0.000193,0.001653
prices,4,0.000077,0.000732
cold,7,0.000135,0.001206
air,16,0.000309,0.002500
hot,40,0.000773,0.005541
process,8,0.000155,0.001357
inner,3,0.000058,0.000566
trauma,5,0.000097,0.000894
corn,5,0.000097,0.000894
sadly,6,0.000116,0.001051
adult,13,0.000251,0.002083
care,34,0.000657,0.004817
center,28,0.000541,0.004072
actually,49,0.000947,0.006596
americans,11,0.000213,0.001798
happy,101,0.001953,0.012183
rn,21,0.000406,0.003171
cuts,8,0.000155,0.001357
caps,10,0.000193,0.001653
lead,19,0.000367,0.002906
singer,4,0.000077,0.000732
pop,13,0.000251,0.002083
jazz,3,0.000058,0.000566
taking,78,0.001508,0.009798
biz,5,0.000097,0.000894
lie,11,0.000213,0.001798
paradise,10,0.000193,0.001653
dang,4,0.000077,0.000732
job,50,0.000967,0.006711
braun,6,0.000116,0.001051
really,187,0.003616,0.020329
singing,10,0.000193,0.001653
anthem,6,0.000116,0.001051
kids,24,0.000464,0.003562
yanks,20,0.000387,0.003039
girl,70,0.001353,0.008940
nba,5,0.000097,0.000894
fan,39,0.000754,0.005422
fun,61,0.001179,0.007953
worst,22,0.000425,0.003302
smiling,3,0.000058,0.000566
ready,47,0.000909,0.006364
amazed,3,0.000058,0.000566
tlap,3,0.000058,0.000566
cut,22,0.000425,0.003302
worse,17,0.000329,0.002636
played,19,0.000367,0.002906
continue,8,0.000155,0.001357
tweets,23,0.000445,0.003432
remember,40,0.000773,0.005541
ones,15,0.000290,0.002362
number,34,0.000657,0.004817
memory,6,0.000116,0.001051
camera,8,0.000155,0.001357
clear,8,0.000155,0.001357
plastic,4,0.000077,0.000732
freeship,12,0.000232,0.001942
finishing,3,0.000058,0.000566
room,34,0.000657,0.004817
repost,14,0.000271,0.002224
tried,18,0.000348,0.002771
code,3,0.000058,0.000566
brothers,4,0.000077,0.000732
hundreds,3,0.000058,0.000566
millions,9,0.000174,0.001506
dollars,5,0.000097,0.000894
buying,12,0.000232,0.001942
elections,4,0.000077,0.000732
money,40,0.000773,0.005541
tax,3,0.000058,0.000566
beautiful,60,0.001160,0.007841
email,9,0.000174,0.001506
ang,4,0.000077,0.000732
sevensundaysbukasna,9,0.000174,0.001506
cleared,43,0.000831,0.005897
incident,69,0.001334,0.008831
systemwide,5,0.000097,0.000894
directions,46,0.000889,0.006248
authority,10,0.000193,0.001653
bus,19,0.000367,0.002906
terminal,4,0.000077,0.000732
dropping,4,0.000077,0.000732
murray,6,0.000116,0.001051
wise,5,0.000097,0.000894
battle,4,0.000077,0.000732
pieces,10,0.000193,0.001653
city,59,0.001141,0.007730
loss,6,0.000116,0.001051
block,11,0.000213,0.001798
deep,19,0.000367,0.002906
brilliant,7,0.000135,0.001206
eye,10,0.000193,0.001653
missed,14,0.000271,0.002224
today,116,0.002243,0.013681
tomorrow,89,0.001721,0.010953
viva,5,0.000097,0.000894
trump,93,0.001798,0.011366
fema,4,0.000077,0.000732
certain,14,0.000271,0.002224
puerto,15,0.000290,0.002362
rican,4,0.000077,0.000732
drops,8,0.000155,0.001357
excuses,3,0.000058,0.000566
shoot,12,0.000232,0.001942
tuned,8,0.000155,0.001357
brutal,5,0.000097,0.000894
stuck,5,0.000097,0.000894
failure,5,0.000097,0.000894
bot,4,0.000077,0.000732
letsgoyankees,13,0.000251,0.002083
mlb,22,0.000425,0.003302
goodness,7,0.000135,0.001206
knock,7,0.000135,0.001206
safety,6,0.000116,0.001051
rush,4,0.000077,0.000732
eliminated,4,0.000077,0.000732
alds,23,0.000445,0.003432
nyyvscle,7,0.000135,0.001206
walking,10,0.000193,0.001653
streets,3,0.000058,0.000566
couple,18,0.000348,0.002771
old,53,0.001025,0.007054
anxious,3,0.000058,0.000566
began,4,0.000077,0.000732
order,19,0.000367,0.002906
burger,3,0.000058,0.000566
heart,48,0.000928,0.006480
soundcloud,7,0.000135,0.001206
occupy,4,0.000077,0.000732
occupyearth,7,0.000135,0.001206
todd,6,0.000116,0.001051
jersey,73,0.001411,0.009264
dogs,5,0.000097,0.000894
words,15,0.000290,0.002362
seriously,28,0.000541,0.004072
surprised,14,0.000271,0.002224
started,23,0.000445,0.003432
sam,15,0.000290,0.002362
weeks,21,0.000406,0.003171
half,28,0.000541,0.004072
practice,4,0.000077,0.000732
odd,3,0.000058,0.000566
fave,8,0.000155,0.001357
weird,30,0.000580,0.004323
sing,7,0.000135,0.001206
worlds,4,0.000077,0.000732
cancelled,7,0.000135,0.001206
knew,34,0.000657,0.004817
lauren,3,0.000058,0.000566
close,20,0.000387,0.003039
halloween,30,0.000580,0.004323
outfit,7,0.000135,0.001206
smoke,13,0.000251,0.002083
happened,18,0.000348,0.002771
getting,88,0.001701,0.010849
hurt,19,0.000367,0.002906
sets,3,0.000058,0.000566
sexy,15,0.000290,0.002362
woman,40,0.000773,0.005541
indigenous,7,0.000135,0.001206
native,5,0.000097,0.000894
land,4,0.000077,0.000732
happyindigenouspeoplesday,3,0.000058,0.000566
beautifully,3,0.000058,0.000566
include,5,0.000097,0.000894
debt,4,0.000077,0.000732
island,8,0.000155,0.001357
expect,13,0.000251,0.002083
mass,8,0.000155,0.001357
florida,6,0.000116,0.001051
deserve,14,0.000271,0.002224
credit,4,0.000077,0.000732
bringing,8,0.000155,0.001357
pass,13,0.000251,0.002083
internet,13,0.000251,0.002083
bright,10,0.000193,0.001653
spot,20,0.000387,0.003039
songs,10,0.000193,0.001653
havent,26,0.000503,0.003818
decades,4,0.000077,0.000732
yo,45,0.000870,0.006131
blue,18,0.000348,0.002771
p,18,0.000348,0.002771
sure,61,0.001179,0.007953
came,34,0.000657,0.004817
oscar,4,0.000077,0.000732
isaac,4,0.000077,0.000732
passing,4,0.000077,0.000732
yards,21,0.000406,0.003171
q,7,0.000135,0.001206
skol,4,0.000077,0.000732
needs,34,0.000657,0.004817
birthday,68,0.001315,0.008722
james,8,0.000155,0.001357
yer,4,0.000077,0.000732
twitter,53,0.001025,0.007054
used,32,0.000619,0.004571
live,64,0.001237,0.008284
near,7,0.000135,0.001206
santa,4,0.000077,0.000732
fires,5,0.000097,0.000894
w,104,0.002011,0.012486
said,74,0.001431,0.009371
song,36,0.000696,0.005060
required,3,0.000058,0.000566
stand,37,0.000715,0.005181
national,11,0.000213,0.001798
brother,19,0.000367,0.002906
insurance,5,0.000097,0.000894
children,13,0.000251,0.002083
important,30,0.000580,0.004323
program,3,0.000058,0.000566
asap,8,0.000155,0.001357
real,86,0.001663,0.010641
treat,4,0.000077,0.000732
tell,67,0.001295,0.008613
purple,3,0.000058,0.000566
lights,13,0.000251,0.002083
lockjaw,3,0.000058,0.000566
sky,3,0.000058,0.000566
latergram,3,0.000058,0.000566
joke,26,0.000503,0.003818
space,21,0.000406,0.003171
holes,4,0.000077,0.000732
wore,6,0.000116,0.001051
neon,3,0.000058,0.000566
color,10,0.000193,0.001653
strangers,4,0.000077,0.000732
terrible,19,0.000367,0.002906
youre,138,0.002668,0.015813
daughter,12,0.000232,0.001942
gods,14,0.000271,0.002224
sake,4,0.000077,0.000732
sharing,6,0.000116,0.001051
ya,95,0.001837,0.011571
um,5,0.000097,0.000894
excuse,4,0.000077,0.000732
high,32,0.000619,0.004571
yay,7,0.000135,0.001206
roguefirstlady,3,0.000058,0.000566
guards,3,0.000058,0.000566
bedroom,3,0.000058,0.000566
yes,88,0.001701,0.010849
liberty,6,0.000116,0.001051
golf,3,0.000058,0.000566
yeah,66,0.001276,0.008504
horrible,7,0.000135,0.001206
ppl,28,0.000541,0.004072
working,21,0.000406,0.003171
photos,13,0.000251,0.002083
l,23,0.000445,0.003432
surprising,5,0.000097,0.000894
attitude,4,0.000077,0.000732
d,18,0.000348,0.002771
friend,48,0.000928,0.006480
katie,3,0.000058,0.000566
taylor,8,0.000155,0.001357
release,7,0.000135,0.001206
spread,6,0.000116,0.001051
word,24,0.000464,0.003562
loving,11,0.000213,0.001798
common,7,0.000135,0.001206
strategy,8,0.000155,0.001357
sounded,4,0.000077,0.000732
checks,4,0.000077,0.000732
mnf,17,0.000329,0.002636
score,15,0.000290,0.002362
horse,3,0.000058,0.000566
walks,6,0.000116,0.001051
circles,3,0.000058,0.000566
heights,4,0.000077,0.000732
favor,3,0.000058,0.000566
baseball,20,0.000387,0.003039
pro,17,0.000329,0.002636
told,26,0.000503,0.003818
pick,22,0.000425,0.003302
ahhh,3,0.000058,0.000566
dove,11,0.000213,0.001798
truly,22,0.000425,0.003302
women,58,0.001121,0.007618
power,26,0.000503,0.003818
beauty,14,0.000271,0.002224
wo,5,0.000097,0.000894
alcs,3,0.000058,0.000566
blocks,3,0.000058,0.000566
apt,4,0.000077,0.000732
scene,19,0.000367,0.002906
rest,19,0.000367,0.002906
shout,21,0.000406,0.003171
spotify,6,0.000116,0.001051
streams,3,0.000058,0.000566
appreciate,11,0.000213,0.001798
fully,4,0.000077,0.000732
stepped,3,0.000058,0.000566
shower,5,0.000097,0.000894
socks,4,0.000077,0.000732
roger,4,0.000077,0.000732
anyones,3,0.000058,0.000566
dude,29,0.000561,0.004198
