Number of pairs,13911.000000
Number of unique pairs,2640
Average pair frequency,5.269318
Pair entropy,7.535640

Pair,Frequency,Proportion,Entropy Term,Mutual Information
station south,3.000000,0.000216,0.001821,6.621587
station avenuebarclays,3.000000,0.000216,0.001821,8.007881
station aline,3.000000,0.000216,0.001821,7.314734
station streetport,6.000000,0.000431,0.003342,8.007881
station fline,4.000000,0.000288,0.002345,7.602416
station htsroosevelt,3.000000,0.000216,0.001821,8.007881
station hoytschermerhorn,3.000000,0.000216,0.001821,8.007881
station streethudson,3.000000,0.000216,0.001821,8.007881
station queensboro,3.000000,0.000216,0.001821,7.720199
station chambers,3.000000,0.000216,0.001821,7.497056
gt just,3.000000,0.000216,0.001821,3.797607
gt yeah,3.000000,0.000216,0.001821,6.031200
light gt,5.000000,0.000359,0.002851,7.435843
playing game,5.000000,0.000359,0.002851,4.172537
playing watching,3.000000,0.000216,0.001821,4.580468
playing rotation,5.000000,0.000359,0.002851,5.959382
playing w,6.000000,0.000431,0.003342,5.023674
playing whoisconway,3.000000,0.000216,0.001821,7.876305
nice realdonaldtrump,3.000000,0.000216,0.001821,4.350751
nice evening,16.000000,0.001150,0.007784,7.586912
nice relaxing,16.000000,0.001150,0.007784,8.011795
nice far,16.000000,0.001150,0.007784,7.512804
play game,4.000000,0.000288,0.002345,4.050198
man like,7.000000,0.000503,0.003822,3.150338
man love,3.000000,0.000216,0.001821,2.733387
man just,5.000000,0.000359,0.002851,2.661608
man got,3.000000,0.000216,0.001821,3.212737
man ill,3.000000,0.000216,0.001821,4.143212
man shit,3.000000,0.000216,0.001821,3.517783
man real,4.000000,0.000288,0.002345,4.407364
way home,3.000000,0.000216,0.001821,4.125244
way better,4.000000,0.000288,0.002345,4.063875
way break,3.000000,0.000216,0.001821,5.550253
way beautiful,3.000000,0.000216,0.001821,4.400348
way comics,3.000000,0.000216,0.001821,6.548782
right game,3.000000,0.000216,0.001821,2.858421
right love,4.000000,0.000288,0.002345,2.618667
right just,7.000000,0.000503,0.003822,2.595677
right point,3.000000,0.000216,0.001821,4.482747
right good,4.000000,0.000288,0.002345,2.966247
right going,4.000000,0.000288,0.002345,3.329410
right people,4.000000,0.000288,0.002345,3.043208
right thing,3.000000,0.000216,0.001821,3.566456
right fuck,3.000000,0.000216,0.001821,3.304092
right really,3.000000,0.000216,0.001821,2.940518
ive like,4.000000,0.000288,0.002345,2.453757
ive game,4.000000,0.000288,0.002345,3.411539
ive day,4.000000,0.000288,0.002345,3.515259
ive days,3.000000,0.000216,0.001821,4.262676
ive just,5.000000,0.000359,0.002851,2.524642
ive got,3.000000,0.000216,0.001821,3.075771
ive seen,22.000000,0.001581,0.010200,6.622831
ive life,3.000000,0.000216,0.001821,3.453456
ive year,3.000000,0.000216,0.001821,4.042614
ive watched,6.000000,0.000431,0.003342,5.603850
ive years,5.000000,0.000359,0.002851,4.699393
ive heard,4.000000,0.000288,0.002345,5.680223
ive met,4.000000,0.000288,0.002345,5.428908
ive spent,3.000000,0.000216,0.001821,5.872114
